time            Cj              shCj           
2.064128257e+02 1.024936074e+00 1.024936074e+00
2.084168337e+02 1.020297686e+00 1.020297686e+00
2.104208417e+02 1.015701095e+00 1.015701095e+00
2.124248497e+02 1.011145737e+00 1.011145737e+00
2.144288577e+02 1.006631060e+00 1.006631060e+00
2.164328657e+02 1.002156522e+00 1.002156522e+00
2.184368737e+02 9.977215895e-01 9.977215895e-01
2.204408818e+02 9.933257398e-01 9.933257398e-01
2.224448898e+02 9.889684584e-01 9.889684584e-01
2.244488978e+02 9.846492395e-01 9.846492395e-01
2.264529058e+02 9.803675866e-01 9.803675866e-01
2.284569138e+02 9.761230116e-01 9.761230116e-01
2.304609218e+02 9.719150347e-01 9.719150347e-01
2.324649299e+02 9.677431839e-01 9.677431839e-01
2.344689379e+02 9.636069922e-01 9.636069922e-01
2.364729459e+02 9.595060126e-01 9.595060126e-01
2.384769539e+02 9.554397912e-01 9.554397912e-01
2.404809619e+02 9.514078891e-01 9.514078891e-01
2.424849699e+02 9.474098741e-01 9.474098741e-01
2.444889780e+02 9.434453212e-01 9.434453212e-01
2.464929860e+02 9.395138125e-01 9.395138125e-01
2.484969940e+02 9.356149375e-01 9.356149375e-01
2.505010020e+02 9.317482924e-01 9.317482924e-01
2.525050100e+02 9.279134783e-01 9.279134783e-01
2.545090180e+02 9.241101024e-01 9.241101024e-01
2.565130261e+02 9.203377790e-01 9.203377790e-01
2.585170341e+02 9.165961292e-01 9.165961292e-01
2.605210421e+02 9.128847804e-01 9.128847804e-01
2.625250501e+02 9.092033665e-01 9.092033665e-01
2.645290581e+02 9.055515267e-01 9.055515267e-01
2.665330661e+02 9.019289067e-01 9.019289067e-01
2.685370741e+02 8.983351583e-01 8.983351583e-01
2.705410822e+02 8.947699368e-01 8.947699368e-01
2.725450902e+02 8.912329036e-01 8.912329036e-01
2.745490982e+02 8.877237257e-01 8.877237257e-01
2.765531062e+02 8.842420748e-01 8.842420748e-01
2.785571142e+02 8.807876282e-01 8.807876282e-01
2.805611222e+02 8.773600684e-01 8.773600684e-01
2.825651303e+02 8.739590827e-01 8.739590827e-01
2.845691383e+02 8.705843640e-01 8.705843640e-01
2.865731463e+02 8.672356091e-01 8.672356091e-01
2.885771543e+02 8.639125191e-01 8.639125191e-01
2.905811623e+02 8.606148004e-01 8.606148004e-01
2.925851703e+02 8.573421631e-01 8.573421631e-01
2.945891784e+02 8.540943221e-01 8.540943221e-01
2.965931864e+02 8.508709967e-01 8.508709967e-01
2.985971944e+02 8.476719104e-01 8.476719104e-01
3.006012024e+02 8.444967909e-01 8.444967909e-01
3.026052104e+02 8.413453698e-01 8.413453698e-01
3.046092184e+02 8.382173824e-01 8.382173824e-01
3.066132265e+02 8.351125687e-01 8.351125687e-01
3.086172345e+02 8.320306728e-01 8.320306728e-01
3.106212425e+02 8.289714414e-01 8.289714414e-01
3.126252505e+02 8.259346247e-01 8.259346247e-01
3.146292585e+02 8.229199776e-01 8.229199776e-01
3.166332665e+02 8.199272586e-01 8.199272586e-01
3.186372745e+02 8.169562289e-01 8.169562289e-01
3.206412826e+02 8.140066532e-01 8.140066532e-01
3.226452906e+02 8.110783003e-01 8.110783003e-01
3.246492986e+02 8.081709424e-01 8.081709424e-01
3.266533066e+02 8.052843541e-01 8.052843541e-01
3.286573146e+02 8.024183135e-01 8.024183135e-01
3.306613226e+02 7.995726023e-01 7.995726023e-01
3.326653307e+02 7.967470056e-01 7.967470056e-01
3.346693387e+02 7.939413101e-01 7.939413101e-01
3.366733467e+02 7.911553062e-01 7.911553062e-01
3.386773547e+02 7.883887875e-01 7.883887875e-01
3.406813627e+02 7.856415506e-01 7.856415506e-01
3.426853707e+02 7.829133935e-01 7.829133935e-01
3.446893788e+02 7.802041180e-01 7.802041180e-01
3.466933868e+02 7.775135289e-01 7.775135289e-01
3.486973948e+02 7.748414340e-01 7.748414340e-01
3.507014028e+02 7.721876439e-01 7.721876439e-01
3.527054108e+02 7.695519717e-01 7.695519717e-01
3.547094188e+02 7.669342308e-01 7.669342308e-01
3.567134269e+02 7.643342387e-01 7.643342387e-01
3.587174349e+02 7.617518160e-01 7.617518160e-01
3.607214429e+02 7.591867857e-01 7.591867857e-01
3.627254509e+02 7.566389735e-01 7.566389735e-01
3.647294589e+02 7.541082064e-01 7.541082064e-01
3.667334669e+02 7.515943127e-01 7.515943127e-01
3.687374749e+02 7.490971244e-01 7.490971244e-01
3.707414830e+02 7.466164758e-01 7.466164758e-01
3.727454910e+02 7.441522039e-01 7.441522039e-01
3.747494990e+02 7.417041478e-01 7.417041478e-01
3.767535070e+02 7.392721467e-01 7.392721467e-01
3.787575150e+02 7.368560425e-01 7.368560425e-01
3.807615230e+02 7.344556799e-01 7.344556799e-01
3.827655311e+02 7.320709057e-01 7.320709057e-01
3.847695391e+02 7.297015690e-01 7.297015690e-01
3.867735471e+02 7.273475214e-01 7.273475214e-01
