time            shCj            shCk            shBr           
4.629258517e+02 2.607683633e+00 2.577553531e+00 1.584700179e+00
4.689378758e+02 2.632613736e+00 2.603805300e+00 1.508939173e+00
4.749498998e+02 2.656664114e+00 2.629145098e+00 1.436147363e+00
4.809619238e+02 2.679842929e+00 2.653580266e+00 1.366268406e+00
4.869739479e+02 2.702160355e+00 2.677120247e+00 1.299241300e+00
4.929859719e+02 2.723628506e+00 2.699776651e+00 1.235000971e+00
4.989979960e+02 2.744261186e+00 2.721562873e+00 1.173478910e+00
5.050100200e+02 2.764073718e+00 2.742493923e+00 1.114603696e+00
5.110220441e+02 2.783082796e+00 2.762586298e+00 1.058301540e+00
5.170340681e+02 2.801306297e+00 2.781857795e+00 1.004496787e+00
5.230460922e+02 2.818763138e+00 2.800327357e+00 9.531123686e-01
5.290581162e+02 2.835473027e+00 2.818014838e+00 9.040702840e-01
5.350701403e+02 2.851456439e+00 2.834940963e+00 8.572919690e-01
5.410821643e+02 2.866734398e+00 2.851127052e+00 8.126986878e-01
5.470941884e+02 2.881328338e+00 2.866594964e+00 7.702118590e-01
5.531062124e+02 2.895260006e+00 2.881366939e+00 7.297533706e-01
5.591182365e+02 2.908551323e+00 2.895465458e+00 6.912458300e-01
5.651302605e+02 2.921224325e+00 2.908913174e+00 6.546128312e-01
5.711422846e+02 2.933301018e+00 2.921732753e+00 6.197791498e-01
5.771543086e+02 2.944803280e+00 2.933946828e+00 5.866709456e-01
5.831663327e+02 2.955752836e+00 2.945577889e+00 5.552158879e-01
5.891783567e+02 2.966171159e+00 2.956648169e+00 5.253433482e-01
5.951903808e+02 2.976079391e+00 2.967179666e+00 4.969845031e-01
6.012024048e+02 2.985498268e+00 2.977194038e+00 4.700723530e-01
6.072144289e+02 2.994448174e+00 2.986712431e+00 4.445419242e-01
6.132264529e+02 3.002949036e+00 2.995755653e+00 4.203301477e-01
6.192384770e+02 3.011020249e+00 3.004344035e+00 3.973760640e-01
6.252505010e+02 3.018680715e+00 3.012497353e+00 3.756207661e-01
6.312625251e+02 3.025948798e+00 3.020234856e+00 3.550074152e-01
6.372745491e+02 3.032842309e+00 3.027575235e+00 3.354812892e-01
6.432865731e+02 3.039378482e+00 3.034536561e+00 3.169897101e-01
6.492985972e+02 3.045573954e+00 3.041136357e+00 2.994820619e-01
6.553106212e+02 3.051444837e+00 3.047391619e+00 2.829097620e-01
6.613226453e+02 3.057006618e+00 3.053318613e+00 2.672262184e-01
6.673346693e+02 3.062274215e+00 3.058933079e+00 2.523867996e-01
6.733466934e+02 3.067261967e+00 3.064250152e+00 2.383487924e-01
6.793587174e+02 3.071983655e+00 3.069284378e+00 2.250713257e-01
6.853707415e+02 3.076452489e+00 3.074049715e+00 2.125154157e-01
6.913827655e+02 3.080681126e+00 3.078559574e+00 2.006437915e-01
6.973947896e+02 3.084681676e+00 3.082826754e+00 1.894209054e-01
7.034068136e+02 3.088465744e+00 3.086863529e+00 1.788128704e-01
7.094188377e+02 3.092044407e+00 3.090681642e+00 1.687874002e-01
7.154308617e+02 3.095428247e+00 3.094292310e+00 1.593137526e-01
7.214428858e+02 3.098627364e+00 3.097706244e+00 1.503626592e-01
7.274549098e+02 3.101651390e+00 3.100933664e+00 1.419062969e-01
7.334669339e+02 3.104509500e+00 3.103984302e+00 1.339182293e-01
7.394789579e+02 3.107210433e+00 3.106867427e+00 1.263733100e-01
7.454909820e+02 3.109762492e+00 3.109591865e+00 1.192476658e-01
7.515030060e+02 3.112173601e+00 3.112166084e+00 1.125186342e-01
7.575150301e+02 3.114451294e+00 3.114598042e+00 1.061647039e-01
7.635270541e+02 3.116602715e+00 3.116895339e+00 1.001654712e-01
7.695390782e+02 3.118634659e+00 3.119065208e+00 9.450158514e-02
7.755511022e+02 3.120553575e+00 3.121114513e+00 8.915470217e-02
7.815631263e+02 3.122365586e+00 3.123049769e+00 8.410743550e-02
7.875751503e+02 3.124076506e+00 3.124877167e+00 7.934330304e-02
7.935871743e+02 3.125691836e+00 3.126602566e+00 7.484673059e-02
7.995991984e+02 3.127216804e+00 3.128231527e+00 7.060293545e-02
8.056112224e+02 3.128656356e+00 3.129769315e+00 6.659793305e-02
8.116232465e+02 3.130015176e+00 3.131220931e+00 6.281848835e-02
8.176352705e+02 3.131297719e+00 3.132591147e+00 5.925207864e-02
8.236472946e+02 3.132508209e+00 3.133884445e+00 5.588685419e-02
8.296593186e+02 3.133650607e+00 3.135104991e+00 5.271160861e-02
8.356713427e+02 3.134728679e+00 3.136256894e+00 4.971574374e-02
8.416833667e+02 3.135745998e+00 3.137343909e+00 4.688923901e-02
8.476953908e+02 3.136705951e+00 3.138369665e+00 4.422262106e-02
8.537074148e+02 3.137611729e+00 3.139337561e+00 4.170693427e-02
8.597194389e+02 3.138466351e+00 3.140250820e+00 3.933371543e-02
8.657314629e+02 3.139272672e+00 3.141112490e+00 3.709496816e-02
8.717434870e+02 3.140033396e+00 3.141925455e+00 3.498312792e-02
8.777555110e+02 3.140751073e+00 3.142692433e+00 3.299106434e-02
8.837675351e+02 3.141428114e+00 3.143415999e+00 3.111203662e-02
8.897795591e+02 3.142066802e+00 3.144098586e+00 2.933967226e-02
8.957915832e+02 3.142669290e+00 3.144742500e+00 2.766795665e-02
9.018036072e+02 3.143237612e+00 3.145349923e+00 2.609120913e-02
9.078156313e+02 3.143773689e+00 3.145922906e+00 2.460406670e-02
9.138276553e+02 3.144279343e+00 3.146463359e+00 2.320146393e-02
9.198396794e+02 3.144756288e+00 3.146973120e+00 2.187862008e-02
