time            Br              Cj              sCj             sBr            
2.584368737e+02 3.158930622e-01 1.167207749e+01 0.000000000e+00 1.000000000e+01
2.626052104e+02 2.944393728e-01 1.169398611e+01 0.000000000e+00 1.000000000e+01
2.667735471e+02 2.744103718e-01 1.171449806e+01 0.000000000e+00 1.000000000e+01
2.709418838e+02 2.557156264e-01 1.173369496e+01 0.000000000e+00 1.000000000e+01
2.751102204e+02 2.382699067e-01 1.175165457e+01 0.000000000e+00 1.000000000e+01
2.792785571e+02 2.219929568e-01 1.176845086e+01 0.000000000e+00 1.000000000e+01
2.834468938e+02 2.068092613e-01 1.178415407e+01 0.000000000e+00 1.000000000e+01
2.876152305e+02 1.926478222e-01 1.179883088e+01 0.000000000e+00 1.000000000e+01
2.917835671e+02 1.794419596e-01 1.181254445e+01 0.000000000e+00 1.000000000e+01
2.959519038e+02 1.671290454e-01 1.182535449e+01 0.000000000e+00 1.000000000e+01
3.001202405e+02 1.556502785e-01 1.183731743e+01 0.000000000e+00 1.000000000e+01
3.042885772e+02 1.449505797e-01 1.184848670e+01 0.000000000e+00 1.000000000e+01
3.084569138e+02 1.349782957e-01 1.185891263e+01 0.000000000e+00 1.000000000e+01
3.126252505e+02 1.256850409e-01 1.186864258e+01 0.000000000e+00 1.000000000e+01
3.167935872e+02 1.170255076e-01 1.187772128e+01 0.000000000e+00 1.000000000e+01
3.209619238e+02 1.089572885e-01 1.188619071e+01 0.000000000e+00 1.000000000e+01
3.251302605e+02 1.014407081e-01 1.189409039e+01 0.000000000e+00 1.000000000e+01
3.292985972e+02 9.443865893e-02 1.190145745e+01 0.000000000e+00 1.000000000e+01
3.334669339e+02 8.791645258e-02 1.190832676e+01 0.000000000e+00 1.000000000e+01
3.376352705e+02 8.184166713e-02 1.191473104e+01 0.000000000e+00 1.000000000e+01
3.418036072e+02 7.618401053e-02 1.192070094e+01 0.000000000e+00 1.000000000e+01
3.459719439e+02 7.091518675e-02 1.192626526e+01 0.000000000e+00 1.000000000e+01
3.501402806e+02 6.600877813e-02 1.193145096e+01 0.000000000e+00 1.000000000e+01
3.543086172e+02 6.144012875e-02 1.193628326e+01 0.000000000e+00 1.000000000e+01
3.584769539e+02 5.718619476e-02 1.194078578e+01 0.000000000e+00 1.000000000e+01
3.626452906e+02 5.322550217e-02 1.194498055e+01 0.000000000e+00 1.000000000e+01
3.668136273e+02 4.953800895e-02 1.194888825e+01 0.000000000e+00 1.000000000e+01
3.709819639e+02 4.610501908e-02 1.195252833e+01 0.000000000e+00 1.000000000e+01
3.751503006e+02 4.290909557e-02 1.195591901e+01 0.000000000e+00 1.000000000e+01
3.793186373e+02 3.993398177e-02 1.195907686e+01 0.000000000e+00 1.000000000e+01
3.834869739e+02 3.716451638e-02 1.196201772e+01 0.000000000e+00 1.000000000e+01
3.876553106e+02 3.458656969e-02 1.196475639e+01 0.000000000e+00 1.000000000e+01
3.918236473e+02 3.218697416e-02 1.196730662e+01 0.000000000e+00 1.000000000e+01
3.959919840e+02 2.995345346e-02 1.196968122e+01 0.000000000e+00 1.000000000e+01
4.001603206e+02 2.787456686e-02 1.197189218e+01 0.000000000e+00 1.000000000e+01
4.043286573e+02 2.593965420e-02 1.197395068e+01 0.000000000e+00 1.000000000e+01
4.084969940e+02 2.413878672e-02 1.197586715e+01 0.000000000e+00 1.000000000e+01
4.126653307e+02 2.246270536e-02 1.197765132e+01 0.000000000e+00 1.000000000e+01
4.168336673e+02 2.090279543e-02 1.197931226e+01 0.000000000e+00 1.000000000e+01
4.210020040e+02 1.945104543e-02 1.198085841e+01 0.000000000e+00 1.000000000e+01
4.251703407e+02 1.809997377e-02 1.198229766e+01 0.000000000e+00 1.000000000e+01
4.293386774e+02 1.684261717e-02 1.198363735e+01 0.000000000e+00 1.000000000e+01
4.335070140e+02 1.567249241e-02 1.198488435e+01 0.000000000e+00 1.000000000e+01
4.376753507e+02 1.458355794e-02 1.198604504e+01 0.000000000e+00 1.000000000e+01
4.418436874e+02 1.357019909e-02 1.198712537e+01 0.000000000e+00 1.000000000e+01
4.460120240e+02 1.262718789e-02 1.198813084e+01 0.000000000e+00 1.000000000e+01
4.501803607e+02 1.174964370e-02 1.198906665e+01 0.000000000e+00 1.000000000e+01
4.543486974e+02 1.093303064e-02 1.198993759e+01 0.000000000e+00 1.000000000e+01
4.585170341e+02 1.017312546e-02 1.199074818e+01 0.000000000e+00 1.000000000e+01
4.626853707e+02 9.465996564e-03 1.199150254e+01 0.000000000e+00 1.000000000e+01
4.668537074e+02 8.807984362e-03 1.199220459e+01 0.000000000e+00 1.000000000e+01
4.710220441e+02 8.195683043e-03 1.199285794e+01 0.000000000e+00 1.000000000e+01
4.751903808e+02 7.625920376e-03 1.199346596e+01 0.000000000e+00 1.000000000e+01
4.793587174e+02 7.095742397e-03 1.199403178e+01 0.000000000e+00 1.000000000e+01
4.835270541e+02 6.602401407e-03 1.199455834e+01 0.000000000e+00 1.000000000e+01
4.876953908e+02 6.143344374e-03 1.199504834e+01 0.000000000e+00 1.000000000e+01
4.918637275e+02 5.716190945e-03 1.199550431e+01 0.000000000e+00 1.000000000e+01
4.960320641e+02 5.318724891e-03 1.199592863e+01 0.000000000e+00 1.000000000e+01
5.002004008e+02 4.948884358e-03 1.199632348e+01 0.000000000e+00 1.000000000e+01
5.043687375e+02 4.604750120e-03 1.199669091e+01 0.000000000e+00 1.000000000e+01
5.085370741e+02 4.284535827e-03 1.199703282e+01 0.000000000e+00 1.000000000e+01
5.127054108e+02 3.986585648e-03 1.199735098e+01 0.000000000e+00 1.000000000e+01
5.168737475e+02 3.709354750e-03 1.199764701e+01 0.000000000e+00 1.000000000e+01
5.210420842e+02 3.451396044e-03 1.199792245e+01 0.000000000e+00 1.000000000e+01
5.252104208e+02 3.211367135e-03 1.199817880e+01 0.000000000e+00 1.000000000e+01
5.293787575e+02 2.988027170e-03 1.199841732e+01 0.000000000e+00 1.000000000e+01
5.335470942e+02 2.780216284e-03 1.199863927e+01 0.000000000e+00 1.000000000e+01
5.377154309e+02 2.586855110e-03 1.199884579e+01 0.000000000e+00 1.000000000e+01
5.418837675e+02 2.406939275e-03 1.199903796e+01 0.000000000e+00 1.000000000e+01
5.460521042e+02 2.239534564e-03 1.199921677e+01 0.000000000e+00 1.000000000e+01
5.502204409e+02 2.083771254e-03 1.199938314e+01 0.000000000e+00 1.000000000e+01
5.543887776e+02 1.938839767e-03 1.199953795e+01 0.000000000e+00 1.000000000e+01
5.585571142e+02 1.803987153e-03 1.199968200e+01 0.000000000e+00 1.000000000e+01
5.627254509e+02 1.678512743e-03 1.199981604e+01 0.000000000e+00 1.000000000e+01
5.668937876e+02 1.561764595e-03 1.199994075e+01 0.000000000e+00 1.000000000e+01
5.710621242e+02 1.453134753e-03 1.200005679e+01 0.000000000e+00 1.000000000e+01
5.752304609e+02 1.352057764e-03 1.200016477e+01 0.000000000e+00 1.000000000e+01
5.793987976e+02 1.258009943e-03 1.200026524e+01 0.000000000e+00 1.000000000e+01
5.835671343e+02 1.170505895e-03 1.200035872e+01 0.000000000e+00 1.000000000e+01
5.877354709e+02 1.089087614e-03 1.200044571e+01 0.000000000e+00 1.000000000e+01
5.919038076e+02 1.013332324e-03 1.200052664e+01 0.000000000e+00 1.000000000e+01
5.960721443e+02 9.428461964e-04 1.200060195e+01 0.000000000e+00 1.000000000e+01
6.002404810e+02 8.772619575e-04 1.200067201e+01 0.000000000e+00 1.000000000e+01
6.044088176e+02 8.162396703e-04 1.200073720e+01 0.000000000e+00 1.000000000e+01
6.085771543e+02 7.594615770e-04 1.200079785e+01 0.000000000e+00 1.000000000e+01
6.127454910e+02 7.066320363e-04 1.200085427e+01 0.000000000e+00 1.000000000e+01
6.169138277e+02 6.574780806e-04 1.200090676e+01 0.000000000e+00 1.000000000e+01
6.210821643e+02 6.117442034e-04 1.200095563e+01 0.000000000e+00 1.000000000e+01
6.252505010e+02 5.691907394e-04 1.200100115e+01 0.000000000e+00 1.000000000e+01
6.294188377e+02 5.295974430e-04 1.200104342e+01 0.000000000e+00 1.000000000e+01
6.335871743e+02 4.927581148e-04 1.200108282e+01 0.000000000e+00 1.000000000e+01
6.377555110e+02 4.584812762e-04 1.200111944e+01 0.000000000e+00 1.000000000e+01
6.419238477e+02 4.265886893e-04 1.200115351e+01 0.000000000e+00 1.000000000e+01
6.460921844e+02 3.969145210e-04 1.200118521e+01 0.000000000e+00 1.000000000e+01
6.502605210e+02 3.693045163e-04 1.200121471e+01 0.000000000e+00 1.000000000e+01
6.544288577e+02 3.436127911e-04 1.200124216e+01 0.000000000e+00 1.000000000e+01
6.585971944e+02 3.197105082e-04 1.200126770e+01 0.000000000e+00 1.000000000e+01
6.627655311e+02 2.974679553e-04 1.200129147e+01 0.000000000e+00 1.000000000e+01
6.669338677e+02 2.767784895e-04 1.200131357e+01 0.000000000e+00 1.000000000e+01
6.711022044e+02 2.575334875e-04 1.200133413e+01 0.000000000e+00 1.000000000e+01
6.752705411e+02 2.396202762e-04 1.200135327e+01 0.000000000e+00 1.000000000e+01
6.794388778e+02 2.229531852e-04 1.200137108e+01 0.000000000e+00 1.000000000e+01
6.836072144e+02 2.074451558e-04 1.200138765e+01 0.000000000e+00 1.000000000e+01
6.877755511e+02 1.930171580e-04 1.200140307e+01 0.000000000e+00 1.000000000e+01
6.919438878e+02 1.795905260e-04 1.200141741e+01 0.000000000e+00 1.000000000e+01
6.961122244e+02 1.670981888e-04 1.200143076e+01 0.000000000e+00 1.000000000e+01
7.002805611e+02 1.554733175e-04 1.200144319e+01 0.000000000e+00 1.000000000e+01
7.044488978e+02 1.446561635e-04 1.200145475e+01 0.000000000e+00 1.000000000e+01
7.086172345e+02 1.345925264e-04 1.200146551e+01 0.000000000e+00 1.000000000e+01
7.127855711e+02 1.252279295e-04 1.200147553e+01 0.000000000e+00 1.000000000e+01
7.169539078e+02 1.165149159e-04 1.200148486e+01 0.000000000e+00 1.000000000e+01
7.211222445e+02 1.084099155e-04 1.200149354e+01 0.000000000e+00 1.000000000e+01
7.252905812e+02 1.008686008e-04 1.200150163e+01 0.000000000e+00 1.000000000e+01
7.294589178e+02 9.385184864e-05 1.200150917e+01 0.000000000e+00 1.000000000e+01
7.336272545e+02 8.732336961e-05 1.200151611e+01 0.000000000e+00 1.000000000e+01
7.377955912e+02 8.124883426e-05 1.200152251e+01 0.000000000e+00 1.000000000e+01
7.419639279e+02 7.559687824e-05 1.200152856e+01 0.000000000e+00 1.000000000e+01
7.461322645e+02 7.033811624e-05 1.200153414e+01 0.000000000e+00 1.000000000e+01
