time            Cj              Ck              Br             
1.743486974e+02 3.518181146e+00 5.789354271e-01 3.261704582e+00
1.803607214e+02 3.521343210e+00 5.975517082e-01 3.236810847e+00
1.863727455e+02 3.524579351e+00 6.160426581e-01 3.211978775e+00
1.923847695e+02 3.527887462e+00 6.344087639e-01 3.187210195e+00
1.983967936e+02 3.531265463e+00 6.526505039e-01 3.162506915e+00
2.044088176e+02 3.534711297e+00 6.707683493e-01 3.137870724e+00
2.104208417e+02 3.538222934e+00 6.887627611e-01 3.113303390e+00
2.164328657e+02 3.541798370e+00 7.066341942e-01 3.088806659e+00
2.224448898e+02 3.545435625e+00 7.243830969e-01 3.064382254e+00
2.284569138e+02 3.549132743e+00 7.420099115e-01 3.040031878e+00
2.344689379e+02 3.552887797e+00 7.595150722e-01 3.015757211e+00
2.404809619e+02 3.556698883e+00 7.768990108e-01 2.991559906e+00
2.464929860e+02 3.560564122e+00 7.941621518e-01 2.967441597e+00
2.525050100e+02 3.564481661e+00 8.113049139e-01 2.943403892e+00
2.585170341e+02 3.568449672e+00 8.283277132e-01 2.919448375e+00
2.645290581e+02 3.572466352e+00 8.452309596e-01 2.895576607e+00
2.705410822e+02 3.576529924e+00 8.620150599e-01 2.871790123e+00
2.765531062e+02 3.580638636e+00 8.786804171e-01 2.848090433e+00
2.825651303e+02 3.584790759e+00 8.952274308e-01 2.824479021e+00
2.885771543e+02 3.588984591e+00 9.116564979e-01 2.800957347e+00
2.945891784e+02 3.593218454e+00 9.279680123e-01 2.777526844e+00
3.006012024e+02 3.597490696e+00 9.441623661e-01 2.754188918e+00
3.066132265e+02 3.601799688e+00 9.602399492e-01 2.730944950e+00
3.126252505e+02 3.606143827e+00 9.762011500e-01 2.707796291e+00
3.186372745e+02 3.610521535e+00 9.920463549e-01 2.684744270e+00
3.246492986e+02 3.614931256e+00 1.007775949e+00 2.661790186e+00
3.306613226e+02 3.619371463e+00 1.023390317e+00 2.638935310e+00
3.366733467e+02 3.623840649e+00 1.038889845e+00 2.616180885e+00
3.426853707e+02 3.628337334e+00 1.054274915e+00 2.593528129e+00
3.486973948e+02 3.632860061e+00 1.069545909e+00 2.570978233e+00
3.547094188e+02 3.637407396e+00 1.084703212e+00 2.548532356e+00
3.607214429e+02 3.641977933e+00 1.099747208e+00 2.526191630e+00
3.667334669e+02 3.646570286e+00 1.114678281e+00 2.503957161e+00
3.727454910e+02 3.651183094e+00 1.129496814e+00 2.481830028e+00
3.787575150e+02 3.655815019e+00 1.144203192e+00 2.459811279e+00
3.847695391e+02 3.660464749e+00 1.158797804e+00 2.437901933e+00
3.907815631e+02 3.665130993e+00 1.173281036e+00 2.416102982e+00
3.967935872e+02 3.669812483e+00 1.187653276e+00 2.394415393e+00
4.028056112e+02 3.674507976e+00 1.201914915e+00 2.372840100e+00
4.088176353e+02 3.679216251e+00 1.216066345e+00 2.351378010e+00
4.148296593e+02 3.683936111e+00 1.230107960e+00 2.330030002e+00
4.208416834e+02 3.688666379e+00 1.244040154e+00 2.308796930e+00
4.268537074e+02 3.693405903e+00 1.257863327e+00 2.287679614e+00
4.328657315e+02 3.698153554e+00 1.271577877e+00 2.266678850e+00
4.388777555e+02 3.702908223e+00 1.285184208e+00 2.245795402e+00
4.448897796e+02 3.707668823e+00 1.298682722e+00 2.225030012e+00
4.509018036e+02 3.712434291e+00 1.312073827e+00 2.204383390e+00
4.569138277e+02 3.717203586e+00 1.325357932e+00 2.183856218e+00
4.629258517e+02 3.721975687e+00 1.338535452e+00 2.163449149e+00
4.689378758e+02 3.726749593e+00 1.351606797e+00 2.143162817e+00
4.749498998e+02 3.731524328e+00 1.364572388e+00 2.122997818e+00
4.809619238e+02 3.736298935e+00 1.377432644e+00 2.102954725e+00
4.869739479e+02 3.741072478e+00 1.390187990e+00 2.083034084e+00
4.929859719e+02 3.745844042e+00 1.402838851e+00 2.063236417e+00
4.989979960e+02 3.750612731e+00 1.415385656e+00 2.043562214e+00
5.050100200e+02 3.755377673e+00 1.427828838e+00 2.024011942e+00
5.110220441e+02 3.760138012e+00 1.440168833e+00 2.004586039e+00
5.170340681e+02 3.764892915e+00 1.452406079e+00 1.985284920e+00
5.230460922e+02 3.769641566e+00 1.464541017e+00 1.966108973e+00
5.290581162e+02 3.774383171e+00 1.476574093e+00 1.947058559e+00
5.350701403e+02 3.779116954e+00 1.488505755e+00 1.928134012e+00
5.410821643e+02 3.783842159e+00 1.500336453e+00 1.909335647e+00
5.470941884e+02 3.788558048e+00 1.512066642e+00 1.890663749e+00
5.531062124e+02 3.793263902e+00 1.523696780e+00 1.872118579e+00
5.591182365e+02 3.797959021e+00 1.535227328e+00 1.853700372e+00
5.651302605e+02 3.802642722e+00 1.546658749e+00 1.835409344e+00
5.711422846e+02 3.807314342e+00 1.557991510e+00 1.817245683e+00
5.771543086e+02 3.811973234e+00 1.569226081e+00 1.799209554e+00
5.831663327e+02 3.816618770e+00 1.580362937e+00 1.781301097e+00
5.891783567e+02 3.821250338e+00 1.591402551e+00 1.763520434e+00
