time            shAp            shAq            shBr            shBs            shYi            shYj           
4.308617234e+02 1.481817714e+00 4.635091913e-01 6.421471383e+00 2.110790275e+00 3.071775778e+00 9.832835672e-01
4.408817635e+02 1.463982465e+00 4.672568271e-01 6.414623369e+00 2.150470204e+00 3.041304899e+00 9.961466963e-01
4.509018036e+02 1.446339751e+00 4.707596555e-01 6.408183739e+00 2.189785544e+00 3.011272077e+00 1.008595768e+00
4.609218437e+02 1.428886640e+00 4.740232767e-01 6.402145880e+00 2.228743945e+00 2.981667370e+00 1.020636442e+00
4.709418838e+02 1.411620268e+00 4.770531943e-01 6.396503289e+00 2.267352854e+00 2.952481021e+00 1.032274322e+00
4.809619238e+02 1.394537843e+00 4.798548161e-01 6.391249570e+00 2.305619520e+00 2.923703461e+00 1.043514958e+00
4.909819639e+02 1.377636637e+00 4.824334582e-01 6.386378428e+00 2.343551001e+00 2.895325304e+00 1.054363843e+00
5.010020040e+02 1.360913990e+00 4.847943444e-01 6.381883672e+00 2.381154164e+00 2.867337345e+00 1.064826415e+00
5.110220441e+02 1.344367305e+00 4.869426110e-01 6.377759201e+00 2.418435693e+00 2.839730562e+00 1.074908057e+00
5.210420842e+02 1.327994049e+00 4.888833061e-01 6.373999012e+00 2.455402091e+00 2.812496109e+00 1.084614097e+00
5.310621242e+02 1.311791750e+00 4.906213933e-01 6.370597189e+00 2.492059684e+00 2.785625318e+00 1.093949810e+00
5.410821643e+02 1.295757997e+00 4.921617526e-01 6.367547902e+00 2.528414624e+00 2.759109696e+00 1.102920414e+00
5.511022044e+02 1.279890438e+00 4.935091822e-01 6.364845407e+00 2.564472897e+00 2.732940922e+00 1.111531074e+00
5.611222445e+02 1.264186779e+00 4.946684006e-01 6.362484039e+00 2.600240320e+00 2.707110848e+00 1.119786903e+00
5.711422846e+02 1.248644780e+00 4.956440476e-01 6.360458211e+00 2.635722550e+00 2.681611494e+00 1.127692959e+00
5.811623246e+02 1.233262260e+00 4.964406868e-01 6.358762412e+00 2.670925083e+00 2.656435047e+00 1.135254248e+00
5.911823647e+02 1.218037091e+00 4.970628057e-01 6.357391204e+00 2.705853262e+00 2.631573861e+00 1.142475726e+00
6.012024048e+02 1.202967196e+00 4.975148191e-01 6.356339219e+00 2.740512277e+00 2.607020452e+00 1.149362294e+00
6.112224449e+02 1.188050552e+00 4.978010686e-01 6.355601158e+00 2.774907168e+00 2.582767499e+00 1.155918804e+00
6.212424850e+02 1.173285187e+00 4.979258253e-01 6.355171785e+00 2.809042831e+00 2.558807838e+00 1.162150060e+00
6.312625251e+02 1.158669175e+00 4.978932907e-01 6.355045932e+00 2.842924017e+00 2.535134467e+00 1.168060812e+00
6.412825651e+02 1.144200644e+00 4.977075978e-01 6.355218489e+00 2.876555339e+00 2.511740534e+00 1.173655764e+00
6.513026052e+02 1.129877764e+00 4.973728133e-01 6.355684407e+00 2.909941273e+00 2.488619346e+00 1.178939572e+00
6.613226453e+02 1.115698756e+00 4.968929364e-01 6.356438695e+00 2.943086157e+00 2.465764359e+00 1.183916843e+00
6.713426854e+02 1.101661882e+00 4.962719036e-01 6.357476418e+00 2.975994200e+00 2.443169178e+00 1.188592140e+00
6.813627255e+02 1.087765452e+00 4.955135872e-01 6.358792692e+00 3.008669485e+00 2.420827557e+00 1.192969976e+00
6.913827655e+02 1.074007816e+00 4.946217982e-01 6.360382686e+00 3.041115968e+00 2.398733398e+00 1.197054822e+00
7.014028056e+02 1.060387367e+00 4.936002857e-01 6.362241620e+00 3.073337480e+00 2.376880743e+00 1.200851103e+00
7.114228457e+02 1.046902544e+00 4.924527344e-01 6.364364771e+00 3.105337720e+00 2.355263778e+00 1.204363202e+00
7.214428858e+02 1.033551822e+00 4.911827730e-01 6.366747457e+00 3.137120275e+00 2.333876829e+00 1.207595457e+00
7.314629259e+02 1.020333708e+00 4.897939832e-01 6.369385021e+00 3.168688653e+00 2.312714361e+00 1.210552165e+00
7.414829659e+02 1.007246764e+00 4.882898672e-01 6.372272892e+00 3.200046180e+00 2.291770973e+00 1.213237581e+00
7.515030060e+02 9.942895762e-01 4.866738861e-01 6.375406512e+00 3.231196118e+00 2.271041403e+00 1.215655921e+00
7.615230461e+02 9.814607742e-01 4.849494385e-01 6.378781378e+00 3.262141599e+00 2.250520523e+00 1.217811357e+00
7.715430862e+02 9.687590180e-01 4.831198746e-01 6.382393020e+00 3.292885663e+00 2.230203322e+00 1.219708029e+00
7.815631263e+02 9.561830035e-01 4.811884896e-01 6.386237009e+00 3.323431240e+00 2.210084924e+00 1.221350036e+00
7.915831663e+02 9.437314596e-01 4.791585261e-01 6.390308954e+00 3.353781162e+00 2.190160576e+00 1.222741440e+00
8.016032064e+02 9.314031529e-01 4.770331672e-01 6.394604508e+00 3.383938144e+00 2.170425665e+00 1.223886262e+00
8.116232465e+02 9.191968797e-01 4.748155475e-01 6.399119356e+00 3.413904811e+00 2.150875699e+00 1.224788490e+00
8.216432866e+02 9.071114667e-01 4.725087523e-01 6.403849219e+00 3.443683691e+00 2.131506298e+00 1.225452076e+00
8.316633267e+02 8.951457697e-01 4.701158182e-01 6.408789849e+00 3.473277224e+00 2.112313203e+00 1.225880940e+00
8.416833667e+02 8.832986745e-01 4.676397308e-01 6.413937034e+00 3.502687754e+00 2.093292274e+00 1.226078968e+00
8.517034068e+02 8.715690958e-01 4.650834270e-01 6.419286595e+00 3.531917533e+00 2.074439485e+00 1.226050011e+00
8.617234469e+02 8.599559763e-01 4.624497947e-01 6.424834385e+00 3.560968727e+00 2.055750927e+00 1.225797890e+00
8.717434870e+02 8.484582852e-01 4.597416745e-01 6.430576288e+00 3.589843414e+00 2.037222805e+00 1.225326392e+00
8.817635271e+02 8.370750178e-01 4.569618597e-01 6.436508219e+00 3.618543585e+00 2.018851431e+00 1.224639274e+00
8.917835671e+02 8.258051942e-01 4.541130974e-01 6.442626121e+00 3.647071155e+00 2.000633227e+00 1.223740265e+00
9.018036072e+02 8.146478588e-01 4.511980888e-01 6.448925968e+00 3.675427954e+00 1.982564722e+00 1.222633063e+00
9.118236473e+02 8.036020822e-01 4.482194881e-01 6.455403764e+00 3.703615728e+00 1.964642555e+00 1.221321334e+00
9.218436874e+02 7.926669554e-01 4.451799054e-01 6.462055539e+00 3.731636153e+00 1.946863464e+00 1.219808719e+00
9.318637275e+02 7.818415924e-01 4.420819065e-01 6.468877352e+00 3.759490825e+00 1.929224291e+00 1.218098831e+00
9.418837675e+02 7.711251279e-01 4.389280136e-01 6.475865288e+00 3.787181271e+00 1.911721977e+00 1.216195255e+00
9.519038076e+02 7.605167184e-01 4.357207035e-01 6.483015462e+00 3.814708942e+00 1.894353563e+00 1.214101549e+00
9.619238477e+02 7.500155371e-01 4.324624133e-01 6.490324009e+00 3.842075223e+00 1.877116182e+00 1.211821248e+00
9.719438878e+02 7.396207788e-01 4.291555349e-01 6.497787095e+00 3.869281431e+00 1.860007066e+00 1.209357859e+00
9.819639279e+02 7.293316565e-01 4.258024178e-01 6.505400913e+00 3.896328811e+00 1.843023543e+00 1.206714863e+00
9.919839679e+02 7.191473989e-01 4.224053712e-01 6.513161678e+00 3.923218550e+00 1.826163027e+00 1.203895719e+00
1.002004008e+03 7.090672547e-01 4.189666604e-01 6.521065632e+00 3.949951766e+00 1.809423028e+00 1.200903861e+00
1.012024048e+03 6.990904873e-01 4.154885110e-01 6.529109044e+00 3.976529515e+00 1.792801143e+00 1.197742696e+00
1.022044088e+03 6.892163760e-01 4.119731069e-01 6.537288206e+00 4.002952797e+00 1.776295057e+00 1.194415612e+00
1.032064128e+03 6.794442151e-01 4.084225920e-01 6.545599436e+00 4.029222549e+00 1.759902539e+00 1.190925972e+00
1.042084168e+03 6.697733136e-01 4.048390696e-01 6.554039076e+00 4.055339653e+00 1.743621444e+00 1.187277115e+00
1.052104208e+03 6.602029932e-01 4.012246038e-01 6.562603494e+00 4.081304936e+00 1.727449707e+00 1.183472360e+00
1.062124248e+03 6.507325892e-01 3.975812188e-01 6.571289083e+00 4.107119173e+00 1.711385345e+00 1.179515003e+00
1.072144289e+03 6.413614490e-01 3.939109000e-01 6.580092257e+00 4.132783084e+00 1.695426455e+00 1.175408319e+00
1.082164329e+03 6.320889316e-01 3.902155939e-01 6.589009460e+00 4.158297339e+00 1.679571209e+00 1.171155560e+00
1.092184369e+03 6.229144076e-01 3.864972081e-01 6.598037157e+00 4.183662562e+00 1.663817856e+00 1.166759957e+00
1.102204409e+03 6.138372568e-01 3.827576130e-01 6.607171839e+00 4.208879328e+00 1.648164720e+00 1.162224723e+00
1.112224449e+03 6.048568693e-01 3.789986409e-01 6.616410019e+00 4.233948166e+00 1.632610195e+00 1.157553048e+00
1.122244489e+03 5.959726461e-01 3.752220851e-01 6.625748242e+00 4.258869562e+00 1.617152751e+00 1.152748100e+00
1.132264529e+03 5.871839952e-01 3.714297029e-01 6.635183071e+00 4.283643957e+00 1.601790923e+00 1.147813029e+00
1.142284569e+03 5.784903327e-01 3.676232148e-01 6.644711096e+00 4.308271754e+00 1.586523315e+00 1.142750964e+00
1.152304609e+03 5.698910831e-01 3.638043039e-01 6.654328935e+00 4.332753315e+00 1.571348600e+00 1.137565013e+00
1.162324649e+03 5.613856791e-01 3.599746161e-01 6.664033231e+00 4.357088961e+00 1.556265515e+00 1.132258263e+00
1.172344689e+03 5.529735581e-01 3.561357623e-01 6.673820650e+00 4.381278980e+00 1.541272858e+00 1.126833784e+00
