time            A               B               Y              
6.112224449e+02 1.687377988e+00 9.143608173e+00 3.743016143e+00
6.212424850e+02 1.672729486e+00 9.177549070e+00 3.725316155e+00
6.312625251e+02 1.658072302e+00 9.211540086e+00 3.707580542e+00
6.412825651e+02 1.643408698e+00 9.245580695e+00 3.689807146e+00
6.513026052e+02 1.628740925e+00 9.279670304e+00 3.671993920e+00
6.613226453e+02 1.614071209e+00 9.313808242e+00 3.654138918e+00
6.713426854e+02 1.599401759e+00 9.347993753e+00 3.636240306e+00
6.813627255e+02 1.584734787e+00 9.382226061e+00 3.618296340e+00
6.913827655e+02 1.570072473e+00 9.416504284e+00 3.600305385e+00
7.014028056e+02 1.555416956e+00 9.450827419e+00 3.582265904e+00
7.114228457e+02 1.540770375e+00 9.485194432e+00 3.564176458e+00
7.214428858e+02 1.526134853e+00 9.519604223e+00 3.546035705e+00
7.314629259e+02 1.511512498e+00 9.554055626e+00 3.527842403e+00
7.414829659e+02 1.496905390e+00 9.588547391e+00 3.509595401e+00
7.515030060e+02 1.482315575e+00 9.623078158e+00 3.491293648e+00
7.615230461e+02 1.467745107e+00 9.657646565e+00 3.472936182e+00
7.715430862e+02 1.453196018e+00 9.692251169e+00 3.454522136e+00
7.815631263e+02 1.438670311e+00 9.726890448e+00 3.436050731e+00
7.915831663e+02 1.424169961e+00 9.761562792e+00 3.417521281e+00
8.016032064e+02 1.409696943e+00 9.796266564e+00 3.398933188e+00
8.116232465e+02 1.395253209e+00 9.831000064e+00 3.380285942e+00
8.216432866e+02 1.380840686e+00 9.865761518e+00 3.361579120e+00
8.316633267e+02 1.366461276e+00 9.900549080e+00 3.342812384e+00
8.416833667e+02 1.352116862e+00 9.935360843e+00 3.323985483e+00
8.517034068e+02 1.337809324e+00 9.970194876e+00 3.305098247e+00
8.617234469e+02 1.323540512e+00 1.000504918e+01 3.286150590e+00
8.717434870e+02 1.309312241e+00 1.003992167e+01 3.267142508e+00
8.817635271e+02 1.295126313e+00 1.007481023e+01 3.248074077e+00
8.917835671e+02 1.280984524e+00 1.010971269e+01 3.228945452e+00
9.018036072e+02 1.266888635e+00 1.014462682e+01 3.209756867e+00
9.118236473e+02 1.252840386e+00 1.017955036e+01 3.190508633e+00
9.218436874e+02 1.238841493e+00 1.021448097e+01 3.171201136e+00
9.318637275e+02 1.224893651e+00 1.024941628e+01 3.151834839e+00
9.418837675e+02 1.210998537e+00 1.028435387e+01 3.132410278e+00
9.519038076e+02 1.197157801e+00 1.031929127e+01 3.112928061e+00
9.619238477e+02 1.183373071e+00 1.035422598e+01 3.093388869e+00
9.719438878e+02 1.169645948e+00 1.038915545e+01 3.073793452e+00
9.819639279e+02 1.155978013e+00 1.042407706e+01 3.054142633e+00
9.919839679e+02 1.142370821e+00 1.045898821e+01 3.034437296e+00
1.002004008e+03 1.128825903e+00 1.049388620e+01 3.014678400e+00
1.012024048e+03 1.115344763e+00 1.052876833e+01 2.994866963e+00
1.022044088e+03 1.101928885e+00 1.056363186e+01 2.975004073e+00
1.032064128e+03 1.088579719e+00 1.059847400e+01 2.955090876e+00
1.042084168e+03 1.075298697e+00 1.063329196e+01 2.935128581e+00
1.052104208e+03 1.062087219e+00 1.066808289e+01 2.915118457e+00
1.062124248e+03 1.048946662e+00 1.070284391e+01 2.895061839e+00
1.072144289e+03 1.035878375e+00 1.073757211e+01 2.874960120e+00
1.082164329e+03 1.022883681e+00 1.077226459e+01 2.854814738e+00
1.092184369e+03 1.009963872e+00 1.080691839e+01 2.834627199e+00
1.102204409e+03 9.971202152e-01 1.084153053e+01 2.814399056e+00
1.112224449e+03 9.843539495e-01 1.087609802e+01 2.794131919e+00
1.122244489e+03 9.716662833e-01 1.091061785e+01 2.773827442e+00
1.132264529e+03 9.590583957e-01 1.094508700e+01 2.753487330e+00
1.142284569e+03 9.465314396e-01 1.097950241e+01 2.733113342e+00
1.152304609e+03 9.340865377e-01 1.101386102e+01 2.712707280e+00
1.162324649e+03 9.217247813e-01 1.104815976e+01 2.692270990e+00
1.172344689e+03 9.094472332e-01 1.108239556e+01 2.671806363e+00
1.182364729e+03 8.972549278e-01 1.111656530e+01 2.651315336e+00
1.192384770e+03 8.851488669e-01 1.115066589e+01 2.630799883e+00
1.202404810e+03 8.731300229e-01 1.118469423e+01 2.610262021e+00
1.212424850e+03 8.611993379e-01 1.121864719e+01 2.589703801e+00
