time            Ak              Br              Cj              sAk             sBr             sCj            
0.000000000e+00 1.100000000e+01 1.000000000e+01 3.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
1.442885772e+02 3.099985629e+00 5.137013589e+00 1.465789079e+00 2.611233141e-01 2.479032788e-01 2.932942457e-01
2.885771543e+02 2.338739731e+00 5.828475962e+00 2.187291031e+00 4.345488385e-01 3.442841158e-01 4.918921771e-01
4.328657315e+02 1.936772967e+00 5.551626395e+00 3.273221438e+00 5.902397887e-01 3.877279239e-01 5.827067378e-01
5.771543086e+02 1.915789546e+00 4.582488923e+00 4.525851593e+00 7.270179504e-01 4.363353096e-01 5.735393557e-01
7.214428858e+02 2.269426618e+00 3.500498698e+00 5.464626609e+00 8.170868897e-01 5.130493312e-01 5.214874401e-01
8.657314629e+02 2.996207187e+00 2.731176634e+00 5.643176956e+00 8.332776072e-01 6.182313261e-01 4.845678570e-01
1.010020040e+03 3.990400592e+00 2.395462954e+00 5.034888580e+00 7.765020852e-01 7.345085413e-01 4.882034776e-01
1.154308617e+03 4.930254688e+00 2.471526157e+00 4.045455155e+00 6.861785495e-01 8.318968069e-01 5.362210100e-01
1.298597194e+03 5.396308735e+00 2.921537915e+00 3.152384849e+00 6.125812717e-01 8.802059336e-01 6.236707890e-01
1.442885772e+03 5.186630792e+00 3.673552575e+00 2.600354150e+00 5.837517379e-01 8.662401390e-01 7.370879171e-01
1.587174349e+03 4.467852839e+00 4.535800160e+00 2.422128167e+00 6.052635948e-01 8.059895499e-01 8.529753539e-01
1.731462926e+03 3.612110632e+00 5.193959474e+00 2.580226668e+00 6.733554258e-01 7.367447692e-01 9.426580164e-01
1.875751503e+03 2.924446434e+00 5.374076893e+00 3.025182961e+00 7.791763550e-01 6.925819535e-01 9.833937787e-01
2.020040080e+03 2.528661775e+00 5.025192083e+00 3.664956544e+00 9.064972721e-01 6.906438085e-01 9.705650975e-01
2.164328657e+03 2.428735468e+00 4.335396125e+00 4.321715282e+00 1.031299684e+00 7.353519512e-01 9.225690305e-01
2.308617234e+03 2.591005314e+00 3.586339147e+00 4.763212162e+00 1.127237325e+00 8.248646694e-01 8.711671677e-01
