time            Cj              shCj            Br              shBr            Ap              shAp            Ck              Aq              Bs              shCk            shAq            shBs           
4.609218437e+02 1.447760575e-01 3.703994650e-01 3.919296674e-02 1.126392061e+00 2.998892042e-02 1.252567242e+00 4.825868584e-07 2.726265493e-08 3.919296674e-08 3.703994650e-01 1.252567242e+00 1.126392061e+00
4.809619238e+02 1.377748324e-01 3.668449341e-01 3.388902153e-02 1.123598423e+00 2.553526684e-02 1.250208957e+00 4.592494414e-07 2.321387895e-08 3.388902153e-08 3.668449341e-01 1.250208957e+00 1.123598423e+00
5.010020040e+02 1.311732298e-01 3.634932893e-01 2.931278347e-02 1.121188070e+00 2.174916875e-02 1.248204150e+00 4.372440994e-07 1.977197159e-08 2.931278347e-08 3.634932893e-01 1.248204150e+00 1.121188070e+00
5.210420842e+02 1.249427943e-01 3.603300842e-01 2.536192613e-02 1.119107106e+00 1.852889189e-02 1.246498952e+00 4.164759809e-07 1.684444717e-08 2.536192613e-08 3.603300842e-01 1.246498952e+00 1.119107106e+00
5.410821643e+02 1.190576564e-01 3.573421855e-01 2.194911242e-02 1.117309535e+00 1.578864576e-02 1.245047938e+00 3.968588547e-07 1.435331433e-08 2.194911242e-08 3.573421855e-01 1.245047938e+00 1.117309535e+00
5.611222445e+02 1.134941604e-01 3.545175844e-01 1.899969066e-02 1.115756035e+00 1.345599906e-02 1.243812754e+00 3.783138679e-07 1.223272641e-08 1.899969066e-08 3.545175844e-01 1.243812754e+00 1.115756035e+00
5.811623246e+02 1.082307397e-01 3.518453305e-01 1.644969917e-02 1.114412920e+00 1.146967982e-02 1.242760956e+00 3.607691325e-07 1.042698165e-08 1.644969917e-08 3.518453305e-01 1.242760956e+00 1.114412920e+00
6.012024048e+02 1.032476152e-01 3.493153821e-01 1.424427023e-02 1.113251289e+00 9.777806121e-03 1.241865073e+00 3.441587173e-07 8.888914655e-09 1.424427023e-08 3.493153821e-01 1.241865073e+00 1.113251289e+00
6.212424850e+02 9.852662260e-02 3.469185182e-01 1.233626720e-02 1.112246315e+00 8.336394925e-03 1.241101815e+00 3.284220753e-07 7.578540841e-09 1.233626720e-08 3.469185182e-01 1.241101815e+00 1.112246315e+00
6.412825651e+02 9.405108944e-02 3.446462737e-01 1.068514362e-02 1.111376644e+00 7.108123204e-03 1.240451417e+00 3.135036315e-07 6.461930185e-09 1.068514362e-08 3.446462737e-01 1.240451417e+00 1.111376644e+00
6.613226453e+02 8.980564563e-02 3.424908456e-01 9.255985405e-03 1.110623884e+00 6.061292356e-03 1.239897097e+00 2.993521521e-07 5.510265778e-09 9.255985405e-09 3.424908456e-01 1.239897097e+00 1.110623884e+00
6.813627255e+02 8.577612453e-02 3.404450409e-01 8.018715362e-03 1.109972194e+00 5.168976992e-03 1.239424596e+00 2.859204151e-07 4.699069992e-09 8.018715362e-09 3.404450409e-01 1.239424596e+00 1.109972194e+00
7.014028056e+02 8.194942701e-02 3.385022102e-01 6.947384828e-03 1.109407907e+00 4.408274624e-03 1.239021787e+00 2.731647567e-07 4.007522385e-09 6.947384828e-09 3.385022102e-01 1.239021787e+00 1.109407907e+00
7.214428858e+02 7.831343392e-02 3.366562017e-01 6.019597878e-03 1.108919227e+00 3.759701410e-03 1.238678352e+00 2.610447797e-07 3.417910373e-09 6.019597878e-09 3.366562017e-01 1.238678352e+00 1.108919227e+00
7.414829659e+02 7.485693283e-02 3.349013195e-01 5.216023280e-03 1.108495971e+00 3.206684014e-03 1.238385517e+00 2.495231094e-07 2.915167286e-09 5.216023280e-09 3.349013195e-01 1.238385517e+00 1.108495971e+00
7.615230461e+02 7.156949928e-02 3.332322724e-01 4.519948650e-03 1.108129337e+00 2.735103135e-03 1.238135804e+00 2.385649976e-07 2.486457395e-09 4.519948650e-09 3.332322724e-01 1.238135804e+00 1.108129337e+00
7.815631263e+02 6.844146070e-02 3.316441517e-01 3.916950687e-03 1.107811727e+00 2.332953248e-03 1.237922856e+00 2.281382023e-07 2.120866589e-09 3.916950687e-09 3.316441517e-01 1.237922856e+00 1.107811727e+00
8.016032064e+02 6.546380226e-02 3.301323798e-01 3.394522172e-03 1.107536555e+00 1.989978172e-03 1.237741242e+00 2.182126742e-07 1.809071065e-09 3.394522172e-09 3.301323798e-01 1.237741242e+00 1.107536555e+00
8.216432866e+02 6.262814863e-02 3.286927025e-01 2.941871133e-03 1.107298136e+00 1.697461585e-03 1.237586348e+00 2.087604954e-07 1.543146896e-09 2.941871133e-09 3.286927025e-01 1.237586348e+00 1.107298136e+00
8.416833667e+02 5.992667594e-02 3.273211501e-01 2.549658408e-03 1.107091551e+00 1.447974043e-03 1.237454238e+00 1.997555865e-07 1.316340039e-09 2.549658408e-09 3.273211501e-01 1.237454238e+00 1.107091551e+00
8.617234469e+02 5.735207830e-02 3.260140127e-01 2.209789564e-03 1.106912537e+00 1.235173702e-03 1.237341556e+00 1.911735943e-07 1.122885184e-09 2.209789564e-09 3.260140127e-01 1.237341556e+00 1.106912537e+00
8.817635271e+02 5.489753529e-02 3.247678269e-01 1.915264339e-03 1.106757405e+00 1.053659494e-03 1.237245440e+00 1.829917843e-07 9.578722677e-10 1.915264339e-09 3.247678269e-01 1.237245440e+00 1.106757405e+00
9.018036072e+02 5.255666019e-02 3.235793509e-01 1.660025795e-03 1.106622966e+00 8.988304299e-04 1.237163454e+00 1.751888673e-07 8.171185727e-10 1.660025795e-09 3.235793509e-01 1.237163454e+00 1.106622966e+00
9.218436874e+02 5.032347890e-02 3.224455516e-01 1.438829479e-03 1.106506458e+00 7.667633603e-04 1.237093521e+00 1.677449297e-07 6.970576003e-10 1.438829479e-09 3.224455516e-01 1.237093521e+00 1.106506458e+00
9.418837675e+02 4.819237827e-02 3.213635790e-01 1.247123308e-03 1.106405483e+00 6.541055239e-04 1.237033866e+00 1.606412609e-07 5.946413853e-10 1.247123308e-09 3.213635790e-01 1.237033866e+00 1.106405483e+00
9.619238477e+02 4.615810469e-02 3.203307633e-01 1.080970293e-03 1.106317968e+00 5.580020471e-04 1.236982977e+00 1.538603490e-07 5.072745883e-10 1.080970293e-09 3.203307633e-01 1.236982977e+00 1.106317968e+00
9.819639279e+02 4.421570585e-02 3.193445975e-01 9.369645465e-04 1.106242117e+00 4.760220421e-04 1.236939567e+00 1.473856862e-07 4.327473110e-10 9.369645465e-10 3.193445975e-01 1.236939567e+00 1.106242117e+00
1.002004008e+03 4.236055567e-02 3.184027259e-01 8.121530314e-04 1.106176377e+00 4.060901730e-04 1.236902536e+00 1.412018522e-07 3.691728846e-10 8.121530314e-10 3.184027259e-01 1.236902536e+00 1.106176377e+00
1.022044088e+03 4.058826938e-02 3.175029280e-01 7.039727961e-04 1.106119397e+00 3.464333229e-04 1.236870946e+00 1.352942313e-07 3.149393844e-10 7.039727961e-10 3.175029280e-01 1.236870946e+00 1.106119397e+00
1.042084168e+03 3.889475078e-02 3.166431140e-01 6.102044151e-04 1.106070007e+00 2.955399774e-04 1.236843997e+00 1.296491693e-07 2.686727068e-10 6.102044151e-10 3.166431140e-01 1.236843997e+00 1.106070007e+00
1.062124248e+03 3.727611626e-02 3.158213214e-01 5.289311641e-04 1.106027199e+00 2.521254318e-04 1.236821008e+00 1.242537209e-07 2.292049380e-10 5.289311641e-10 3.158213214e-01 1.236821008e+00 1.106027199e+00
1.082164329e+03 3.572870440e-02 3.150356912e-01 4.584838949e-04 1.105990093e+00 2.150882405e-04 1.236801396e+00 1.190956813e-07 1.955347641e-10 4.584838949e-10 3.150356912e-01 1.236801396e+00 1.105990093e+00
1.102204409e+03 3.424907885e-02 3.142844742e-01 3.974213571e-04 1.105957931e+00 1.834923690e-04 1.236784665e+00 1.141635962e-07 1.668112446e-10 3.974213571e-10 3.142844742e-01 1.236784665e+00 1.105957931e+00
1.122244489e+03 3.283397778e-02 3.135660171e-01 3.444925943e-04 1.105930052e+00 1.565381053e-04 1.236770392e+00 1.094465926e-07 1.423073684e-10 3.444925943e-10 3.135660171e-01 1.236770392e+00 1.105930052e+00
1.142284569e+03 3.148031846e-02 3.128787588e-01 2.986135973e-04 1.105905887e+00 1.335433305e-04 1.236758216e+00 1.049343949e-07 1.214030277e-10 2.986135973e-10 3.128787588e-01 1.236758216e+00 1.105905887e+00
1.162324649e+03 3.018521052e-02 3.122212207e-01 2.588450334e-04 1.105884940e+00 1.139262984e-04 1.236747828e+00 1.006173684e-07 1.035693622e-10 2.588450334e-10 3.122212207e-01 1.236747828e+00 1.105884940e+00
1.182364729e+03 2.894589139e-02 3.115920113e-01 2.243751633e-04 1.105866784e+00 9.719219305e-05 1.236738967e+00 9.648630463e-08 8.835653913e-11 2.243751633e-10 3.115920113e-01 1.236738967e+00 1.105866784e+00
1.202404810e+03 2.775975794e-02 3.109898021e-01 1.944950603e-04 1.105851046e+00 8.291560512e-05 1.236731407e+00 9.253252647e-08 7.537782284e-11 1.944950603e-10 3.109898021e-01 1.236731407e+00 1.105851046e+00
1.222444890e+03 2.662434204e-02 3.104133434e-01 1.685943506e-04 1.105837403e+00 7.073612315e-05 1.236724958e+00 8.874780680e-08 6.430556650e-11 1.685943506e-10 3.104133434e-01 1.236724958e+00 1.105837403e+00
1.242484970e+03 2.553730895e-02 3.098614473e-01 1.461428889e-04 1.105825578e+00 6.034563852e-05 1.236719456e+00 8.512436318e-08 5.485967138e-11 1.461428889e-10 3.098614473e-01 1.236719456e+00 1.105825578e+00
1.262525050e+03 2.449644076e-02 3.093329893e-01 1.266814488e-04 1.105815327e+00 5.148146078e-05 1.236714762e+00 8.165480252e-08 4.680132798e-11 1.266814488e-10 3.093329893e-01 1.236714762e+00 1.105815327e+00
1.282565130e+03 2.349962527e-02 3.088269011e-01 1.098112251e-04 1.105806441e+00 4.391906591e-05 1.236710758e+00 7.833208422e-08 3.992642356e-11 1.098112251e-10 3.088269011e-01 1.236710758e+00 1.105806441e+00
1.302605210e+03 2.254489299e-02 3.083421732e-01 9.518894242e-05 1.105798739e+00 3.746824654e-05 1.236707342e+00 7.514964329e-08 3.406204231e-11 9.518894242e-11 3.083421732e-01 1.236707342e+00 1.105798739e+00
1.322645291e+03 2.163031924e-02 3.078778400e-01 8.251323675e-05 1.105792063e+00 3.196461514e-05 1.236704428e+00 7.210106412e-08 2.905874104e-11 8.251323675e-11 3.078778400e-01 1.236704428e+00 1.105792063e+00
1.342685371e+03 2.075411845e-02 3.074329843e-01 7.152475164e-05 1.105786275e+00 2.726900303e-05 1.236701941e+00 6.918039485e-08 2.479000275e-11 7.152475164e-11 3.074329843e-01 1.236701941e+00 1.105786275e+00
1.362725451e+03 1.991458456e-02 3.070067489e-01 6.200102219e-05 1.105781259e+00 2.326388043e-05 1.236699820e+00 6.638194853e-08 2.114898221e-11 6.200102219e-11 3.070067489e-01 1.236699820e+00 1.105781259e+00
1.382765531e+03 1.911007277e-02 3.065982983e-01 5.374481616e-05 1.105776910e+00 1.984669764e-05 1.236698011e+00 6.370024257e-08 1.804245240e-11 5.374481616e-11 3.065982983e-01 1.236698011e+00 1.105776910e+00
1.402805611e+03 1.833906896e-02 3.062068475e-01 4.658801637e-05 1.105773140e+00 1.693144312e-05 1.236696467e+00 6.113022988e-08 1.539222102e-11 4.658801637e-11 3.062068475e-01 1.236696467e+00 1.105773140e+00
1.422845691e+03 1.760006476e-02 3.058316553e-01 4.038467335e-05 1.105769873e+00 1.444462563e-05 1.236695150e+00 5.866688252e-08 1.313147785e-11 4.038467335e-11 3.058316553e-01 1.236695150e+00 1.105769873e+00
1.442885772e+03 1.689169110e-02 3.054720028e-01 3.500696581e-05 1.105767041e+00 1.232287322e-05 1.236694027e+00 5.630563699e-08 1.120261202e-11 3.500696581e-11 3.054720028e-01 1.236694027e+00 1.105767041e+00
1.462925852e+03 1.621259037e-02 3.051272172e-01 3.034541799e-05 1.105764585e+00 1.051280682e-05 1.236693068e+00 5.404196791e-08 9.557097110e-12 3.034541799e-11 3.051272172e-01 1.236693068e+00 1.105764585e+00
1.482965932e+03 1.556150006e-02 3.047966538e-01 2.630475626e-05 1.105762457e+00 8.968684043e-06 1.236692251e+00 5.187166688e-08 8.153349130e-12 2.630475626e-11 3.047966538e-01 1.236692251e+00 1.105762457e+00
1.503006012e+03 1.493721164e-02 3.044796953e-01 2.280204859e-05 1.105760612e+00 7.651320756e-06 1.236691553e+00 4.979070548e-08 6.955746142e-12 2.280204859e-11 3.044796953e-01 1.236691553e+00 1.105760612e+00
1.523046092e+03 1.433856064e-02 3.041757571e-01 1.976572068e-05 1.105759013e+00 6.527440052e-06 1.236690958e+00 4.779520212e-08 5.934036411e-12 1.976572068e-11 3.041757571e-01 1.236690958e+00 1.105759013e+00
1.543086172e+03 1.376445171e-02 3.038842783e-01 1.713352117e-05 1.105757626e+00 5.568556568e-06 1.236690450e+00 4.588150571e-08 5.062324153e-12 1.713352117e-11 3.038842783e-01 1.236690450e+00 1.105757626e+00
1.563126253e+03 1.321383683e-02 3.036047349e-01 1.485241011e-05 1.105756425e+00 4.750784661e-06 1.236690017e+00 4.404612276e-08 4.318895146e-12 1.485241011e-11 3.036047349e-01 1.236690017e+00 1.105756425e+00
1.583166333e+03 1.268573306e-02 3.033366048e-01 1.287464392e-05 1.105755383e+00 4.052946617e-06 1.236689648e+00 4.228577687e-08 3.684496924e-12 1.287464392e-11 3.033366048e-01 1.236689648e+00 1.105755383e+00
1.603206413e+03 1.217915911e-02 3.030794115e-01 1.116030235e-05 1.105754480e+00 3.457640329e-06 1.236689333e+00 4.059719703e-08 3.143309390e-12 1.116030235e-11 3.030794115e-01 1.236689333e+00 1.105754480e+00
1.623246493e+03 1.169320680e-02 3.028326901e-01 9.674204942e-06 1.105753697e+00 2.949760263e-06 1.236689064e+00 3.897735600e-08 2.681600239e-12 9.674204942e-12 3.028326901e-01 1.236689064e+00 1.105753697e+00
1.643286573e+03 1.122700631e-02 3.025959968e-01 8.385888663e-06 1.105753019e+00 2.516436334e-06 1.236688834e+00 3.742335438e-08 2.287669394e-12 8.385888663e-12 3.025959968e-01 1.236688834e+00 1.105753019e+00
1.663326653e+03 1.077972709e-02 3.023689176e-01 7.269467690e-06 1.105752431e+00 2.146906750e-06 1.236688638e+00 3.593242365e-08 1.951733409e-12 7.269467690e-12 3.023689176e-01 1.236688638e+00 1.105752431e+00
1.683366733e+03 1.035058212e-02 3.021510383e-01 6.301503264e-06 1.105751921e+00 1.831569047e-06 1.236688471e+00 3.450194039e-08 1.665062770e-12 6.301503264e-12 3.021510383e-01 1.236688471e+00 1.105751921e+00
1.703406814e+03 9.938821972e-03 3.019419759e-01 5.462406075e-06 1.105751479e+00 1.562538339e-06 1.236688329e+00 3.312940657e-08 1.420489399e-12 5.462406075e-12 3.019419759e-01 1.236688329e+00 1.105751479e+00
1.723446894e+03 9.543695159e-03 3.017413657e-01 4.735048690e-06 1.105751096e+00 1.333027151e-06 1.236688208e+00 3.181231720e-08 1.211842865e-12 4.735048690e-12 3.017413657e-01 1.236688208e+00 1.105751096e+00
1.743486974e+03 9.164516176e-03 3.015488542e-01 4.104529756e-06 1.105750764e+00 1.137221828e-06 1.236688104e+00 3.054838725e-08 1.033838025e-12 4.104529756e-12 3.015488542e-01 1.236688104e+00 1.105750764e+00
1.763527054e+03 8.800627719e-03 3.013641051e-01 3.557986164e-06 1.105750476e+00 9.701837296e-07 1.236688015e+00 2.933542573e-08 8.819852087e-13 3.557986164e-12 3.013641051e-01 1.236688015e+00 1.105750476e+00
1.783567134e+03 8.451393332e-03 3.011867962e-01 3.084214775e-06 1.105750226e+00 8.276792864e-07 1.236687940e+00 2.817131111e-08 7.524357149e-13 3.084214775e-12 3.011867962e-01 1.236687940e+00 1.105750226e+00
1.803607214e+03 8.116207422e-03 3.010166203e-01 2.673563440e-06 1.105750010e+00 7.061204056e-07 1.236687876e+00 2.705402474e-08 6.419276415e-13 2.673563440e-12 3.010166203e-01 1.236687876e+00 1.105750010e+00
1.823647295e+03 7.794493943e-03 3.008532829e-01 2.317652683e-06 1.105749822e+00 6.024403262e-07 1.236687821e+00 2.598164648e-08 5.476730238e-13 2.317652683e-12 3.008532829e-01 1.236687821e+00 1.105749822e+00
1.843687375e+03 7.485693445e-03 3.006965023e-01 2.009146589e-06 1.105749660e+00 5.139937223e-07 1.236687774e+00 2.495231148e-08 4.672670202e-13 2.009146589e-12 3.006965023e-01 1.236687774e+00 1.105749660e+00
1.863727455e+03 7.189274920e-03 3.005460083e-01 1.741682848e-06 1.105749519e+00 4.385228573e-07 1.236687734e+00 2.396424973e-08 3.986571430e-13 1.741682848e-12 3.005460083e-01 1.236687734e+00 1.105749519e+00
