time            Ak              Br              Cj             
1.798797595e+03 5.094453415e+00 2.727203236e+00 2.297001586e+00
1.819238477e+03 5.071854743e+00 2.805838934e+00 2.239109263e+00
1.839679359e+03 5.041996040e+00 2.887232287e+00 2.185225838e+00
1.860120240e+03 5.005172715e+00 2.971199055e+00 2.135285303e+00
1.880561122e+03 4.961715313e+00 3.057536121e+00 2.089214708e+00
1.901002004e+03 4.911985288e+00 3.146021624e+00 2.046936146e+00
1.921442886e+03 4.856370959e+00 3.236415217e+00 2.008368460e+00
1.941883768e+03 4.795283659e+00 3.328458353e+00 1.973428658e+00
1.962324649e+03 4.729152999e+00 3.421875368e+00 1.942033300e+00
1.982765531e+03 4.658422671e+00 3.516374501e+00 1.914099576e+00
2.003206413e+03 4.583546067e+00 3.611649298e+00 1.889546182e+00
2.023647295e+03 4.504982180e+00 3.707380188e+00 1.868294106e+00
2.044088176e+03 4.423191432e+00 3.803236382e+00 1.850267195e+00
2.064529058e+03 4.338631766e+00 3.898877949e+00 1.835392620e+00
2.084969940e+03 4.251754953e+00 3.993958074e+00 1.823601203e+00
2.105410822e+03 4.163003176e+00 4.088125454e+00 1.814827624e+00
2.125851703e+03 4.072805916e+00 4.181026796e+00 1.809010534e+00
2.146292585e+03 3.981577183e+00 4.272309382e+00 1.806092569e+00
2.166733467e+03 3.889713099e+00 4.361623641e+00 1.806020284e+00
2.187174349e+03 3.797589852e+00 4.448625728e+00 1.808744008e+00
2.207615230e+03 3.705562040e+00 4.532979997e+00 1.814217639e+00
2.228056112e+03 3.613961374e+00 4.614361469e+00 1.822398368e+00
2.248496994e+03 3.523095775e+00 4.692457982e+00 1.833246366e+00
2.268937876e+03 3.433248767e+00 4.766972543e+00 1.846724404e+00
2.289378758e+03 3.344679247e+00 4.837625101e+00 1.862797448e+00
2.309819639e+03 3.257621606e+00 4.904154321e+00 1.881432206e+00
2.330260521e+03 3.172285917e+00 4.966319298e+00 1.902596637e+00
2.350701403e+03 3.088858710e+00 5.023900524e+00 1.926259515e+00
2.371142285e+03 3.007503653e+00 5.076701354e+00 1.952389752e+00
2.391583166e+03 2.928362296e+00 5.124549098e+00 1.980955975e+00
2.412024048e+03 2.851555617e+00 5.167294993e+00 2.011925890e+00
2.432464930e+03 2.777184881e+00 5.204815246e+00 2.045265746e+00
2.452905812e+03 2.705333036e+00 5.237011042e+00 2.080939747e+00
