time            Ak              Br              Cj              sAk             sBr             sCj            
0.000000000e+00 1.100000000e+01 1.000000000e+01 3.000000000e+00 0.000000000e+00 0.000000000e+00 0.000000000e+00
2.044088176e+02 1.665574338e+00 1.866476555e+00 4.935302469e-01 6.980667078e-03 6.863972544e-03 9.197500098e-03
4.088176353e+02 1.510488613e+00 2.023166112e+00 5.129636864e-01 9.758217016e-03 8.698425607e-03 1.553221882e-02
6.132264529e+02 1.360695020e+00 2.162110442e+00 5.416712839e-01 1.146457335e-02 8.900978499e-03 2.004726542e-02
8.176352705e+02 1.220819238e+00 2.279207002e+00 5.804288753e-01 1.288016874e-02 8.631335541e-03 2.300663092e-02
1.022044088e+03 1.093675733e+00 2.370717924e+00 6.300560228e-01 1.426505840e-02 8.307627218e-03 2.462311276e-02
1.226452906e+03 9.807932598e-01 2.433807712e+00 6.913764788e-01 1.570516029e-02 8.053599444e-03 2.509443518e-02
1.430861723e+03 8.827394782e-01 2.466775507e+00 7.651329583e-01 1.722070706e-02 7.894473787e-03 2.462508968e-02
1.635270541e+03 7.993937765e-01 2.469114040e+00 8.518588450e-01 1.880228960e-02 7.828860676e-03 2.343523651e-02
1.839679359e+03 7.301884998e-01 2.441491691e+00 9.517131140e-01 2.042388727e-02 7.851233681e-03 2.175651769e-02
2.044088176e+03 6.743121081e-01 2.385701920e+00 1.064294965e+00 2.204833842e-02 7.957731939e-03 1.981669202e-02
2.248496994e+03 6.308690526e-01 2.304584152e+00 1.188467728e+00 2.363026342e-02 8.147096671e-03 1.781826625e-02
2.452905812e+03 5.989974177e-01 2.201897686e+00 1.322231965e+00 2.511813793e-02 8.420388652e-03 1.591885405e-02
2.657314629e+03 5.779495916e-01 2.082127637e+00 1.462688167e+00 2.645616906e-02 8.780429504e-03 1.422049992e-02
2.861723447e+03 5.671428301e-01 1.950216772e+00 1.606115902e+00 2.758639374e-02 9.231164998e-03 1.277132273e-02
3.066132265e+03 5.661861660e-01 1.811242291e+00 1.748170262e+00 2.845138337e-02 9.776963900e-03 1.157736315e-02
3.270541082e+03 5.748885275e-01 1.670079408e+00 1.884167981e+00 2.899785922e-02 1.042184165e-02 1.061880963e-02
3.474949900e+03 5.932509725e-01 1.531103129e+00 2.009415544e+00 2.918131867e-02 1.116861079e-02 9.864713928e-03
3.679358717e+03 6.214438550e-01 1.397971639e+00 2.119527226e+00 2.897146125e-02 1.201797934e-02 9.282975252e-03
3.883767535e+03 6.597681015e-01 1.273513555e+00 2.210692277e+00 2.835781627e-02 1.296763815e-02 8.845443499e-03
4.088176353e+03 7.085984675e-01 1.159717833e+00 2.279870539e+00 2.735458000e-02 1.401139888e-02 8.529587972e-03
4.292585170e+03 7.683064562e-01 1.057805147e+00 2.324913893e+00 2.600335187e-02 1.513846016e-02 8.318391245e-03
4.496993988e+03 8.391617023e-01 9.683527403e-01 2.344627279e+00 2.437237542e-02 1.633288310e-02 8.199600773e-03
4.701402806e+03 9.212143214e-01 8.914426766e-01 2.338784799e+00 2.255131303e-02 1.757334423e-02 8.164889198e-03
4.905811623e+03 1.014165751e+00 8.268107333e-01 2.308113387e+00 2.064158177e-02 1.883320314e-02 8.209114416e-03
5.110220441e+03 1.117243193e+00 7.739804095e-01 2.254246779e+00 1.874375621e-02 2.008088964e-02 8.329705786e-03
5.314629259e+03 1.229098313e+00 7.323742381e-01 2.179644359e+00 1.694487830e-02 2.128059333e-02 8.526145101e-03
5.519038076e+03 1.347753971e+00 7.014000794e-01 2.087465126e+00 1.530896408e-02 2.239325869e-02 8.799495782e-03
5.723446894e+03 1.470618507e+00 6.805137149e-01 1.981391649e+00 1.387306001e-02 2.337792139e-02 9.151942417e-03
5.927855711e+03 1.594576442e+00 6.692602225e-01 1.865409574e+00 1.264921468e-02 2.419345621e-02 9.586310928e-03
6.132264529e+03 1.716148389e+00 6.672976224e-01 1.743562523e+00 1.163061647e-02 2.480080748e-02 1.010555043e-02
6.336673347e+03 1.831699815e+00 6.744052683e-01 1.619710393e+00 1.079920242e-02 2.516570954e-02 1.071217146e-02
6.541082164e+03 1.937667950e+00 6.904791076e-01 1.497322595e+00 1.013234746e-02 2.526178049e-02 1.140764789e-02
6.745490982e+03 2.030776474e+00 7.155148860e-01 1.379329791e+00 9.607470793e-03 2.507372204e-02 1.219179819e-02
6.949899800e+03 2.108214091e+00 7.495797497e-01 1.268045420e+00 9.204512526e-03 2.460019298e-02 1.306217634e-02
