time            Ak              Br              Cj              sAk             sBr             sCj            
8.993987976e+03 1.866576706e+00 1.543482549e+00 6.801449502e-01 9.609070652e-03 1.296648812e-02 2.338465559e-02
9.198396794e+03 1.767741478e+00 1.648429655e+00 6.697725383e-01 1.001619595e-02 1.206409855e-02 2.413564538e-02
9.402805611e+03 1.664948739e+00 1.750590211e+00 6.668077240e-01 1.049303014e-02 1.129204260e-02 2.471742936e-02
9.607214429e+03 1.560818819e+00 1.847505390e+00 6.710286404e-01 1.104079957e-02 1.064172701e-02 2.510464654e-02
9.811623246e+03 1.457703093e+00 1.936801976e+00 6.822883802e-01 1.166008875e-02 1.010204458e-02 2.527746187e-02
1.001603206e+04 1.357613027e+00 2.016301277e+00 7.005055561e-01 1.235049916e-02 9.661380289e-03 2.522339999e-02
1.022044088e+04 1.262182725e+00 2.084109498e+00 7.256489758e-01 1.311031087e-02 9.308826698e-03 2.493895657e-02
1.042484970e+04 1.172663202e+00 2.138684677e+00 7.577167286e-01 1.393615896e-02 9.034794785e-03 2.443074982e-02
1.062925852e+04 1.089943052e+00 2.178879403e+00 7.967099691e-01 1.482274024e-02 8.831235837e-03 2.371595646e-02
1.083366733e+04 1.014588132e+00 2.203961665e+00 8.426018518e-01 1.576256754e-02 8.691645601e-03 2.282181044e-02
1.103807615e+04 9.468925494e-01 2.213617871e+00 8.953025389e-01 1.674578968e-02 8.610962450e-03 2.178404414e-02
1.124248497e+04 8.869340902e-01 2.207942213e+00 9.546219124e-01 1.776009433e-02 8.585422137e-03 2.064431790e-02
1.144689379e+04 8.346286654e-01 2.187415565e+00 1.020232481e+00 1.879070915e-02 8.612399931e-03 1.944689328e-02
1.165130261e+04 7.897801837e-01 2.152875831e+00 1.091635900e+00 1.982051500e-02 8.690252988e-03 1.823499662e-02
1.185571142e+04 7.521236285e-01 2.105479929e+00 1.168136970e+00 2.083028011e-02 8.818166344e-03 1.704744652e-02
1.206012024e+04 7.213605911e-01 2.046657360e+00 1.248829149e+00 2.179902625e-02 8.996001422e-03 1.591607382e-02
1.226452906e+04 6.971871203e-01 1.978054759e+00 1.332594805e+00 2.270453240e-02 9.224144333e-03 1.486431234e-02
1.246893788e+04 6.793145855e-01 1.901472617e+00 1.418121996e+00 2.352397960e-02 9.503351268e-03 1.390703126e-02
1.267334669e+04 6.674842149e-01 1.818796030e+00 1.503937616e+00 2.423473796e-02 9.834587732e-03 1.305142116e-02
1.287775551e+04 6.614761741e-01 1.731923303e+00 1.588454768e+00 2.481528430e-02 1.021886075e-02 1.229855834e-02
1.308216433e+04 6.611139674e-01 1.642697131e+00 1.670030247e+00 2.524622822e-02 1.065704234e-02 1.164520538e-02
1.328657315e+04 6.662647756e-01 1.552843172e+00 1.747027130e+00 2.551140658e-02 1.114968564e-02 1.108549765e-02
1.349098196e+04 6.768362450e-01 1.463920217e+00 1.817877095e+00 2.559898414e-02 1.169683482e-02 1.061230936e-02
1.369539078e+04 6.927700103e-01 1.377284776e+00 1.881137672e+00 2.550247521e-02 1.229783278e-02 1.021823097e-02
1.389979960e+04 7.140321602e-01 1.294071246e+00 1.935540860e+00 2.522157921e-02 1.295113127e-02 9.896192078e-03
1.410420842e+04 7.406008716e-01 1.215186643e+00 1.980031136e+00 2.476271584e-02 1.365410972e-02 9.639818771e-03
1.430861723e+04 7.724513597e-01 1.141318222e+00 2.013792110e+00 2.413914052e-02 1.440291178e-02 9.443597366e-03
1.451302605e+04 8.095382298e-01 1.072951051e+00 2.036262587e+00 2.337054803e-02 1.519230593e-02 9.302923865e-03
1.471743487e+04 8.517761843e-01 1.010392221e+00 2.047142964e+00 2.248212442e-02 1.601558385e-02 9.214084892e-03
1.492184369e+04 8.990194895e-01 9.537988603e-01 2.046393879e+00 2.150307596e-02 1.686450073e-02 9.174204271e-03
1.512625251e+04 9.510415671e-01 9.032070655e-01 2.034227884e+00 2.046475532e-02 1.772926998e-02 9.181170726e-03
1.533066132e+04 1.007516364e+00 8.585602202e-01 2.011095597e+00 1.939858821e-02 1.859861746e-02 9.233558384e-03
1.553507014e+04 1.068002910e+00 8.197345990e-01 1.977666609e+00 1.833405284e-02 1.945990200e-02 9.330542347e-03
1.573947896e+04 1.131935425e+00 7.865621329e-01 1.934804811e+00 1.729697342e-02 2.029930829e-02 9.471813120e-03
1.594388778e+04 1.198620213e+00 7.588495519e-01 1.883538726e+00 1.630833002e-02 2.110211395e-02 9.657488137e-03
1.614829659e+04 1.267240694e+00 7.363937670e-01 1.825027134e+00 1.538371051e-02 2.185302967e-02 9.888021425e-03
1.635270541e+04 1.336870899e+00 7.189939738e-01 1.760520482e+00 1.453336466e-02 2.253661475e-02 1.016410863e-02
1.655711423e+04 1.406497062e+00 7.064604488e-01 1.691319752e+00 1.376276812e-02 2.313775900e-02 1.048658822e-02
1.676152305e+04 1.475045841e+00 6.986205805e-01 1.618734639e+00 1.307349123e-02 2.364222101e-02 1.085633772e-02
1.696593186e+04 1.541417287e+00 6.953223282e-01 1.544043374e+00 1.246419777e-02 2.403720563e-02 1.127416511e-02
1.717034068e+04 1.604520048e+00 6.964355036e-01 1.468456506e+00 1.193160089e-02 2.431195620e-02 1.174069594e-02
1.737474950e+04 1.663306096e+00 7.018510964e-01 1.393086503e+00 1.147127870e-02 2.445832911e-02 1.225625730e-02
1.757915832e+04 1.716803134e+00 7.114788925e-01 1.318924914e+00 1.107830938e-02 2.447131336e-02 1.282075990e-02
1.778356713e+04 1.764142341e+00 7.252435405e-01 1.246827413e+00 1.074771840e-02 2.434944908e-02 1.343358156e-02
1.798797595e+04 1.804580284e+00 7.430792384e-01 1.177506867e+00 1.047477607e-02 2.409509951e-02 1.409345410e-02
1.819238477e+04 1.837515307e+00 7.649232168e-01 1.111533605e+00 1.025517235e-02 2.371454139e-02 1.479835706e-02
1.839679359e+04 1.862497180e+00 7.907081472e-01 1.049341893e+00 1.008510777e-02 2.321782716e-02 1.554542417e-02
1.860120240e+04 1.879231492e+00 8.203537567e-01 9.912409082e-01 9.961329111e-03 2.261841753e-02 1.633086431e-02
1.880561122e+04 1.887579142e+00 8.537578255e-01 9.374289847e-01 9.881129712e-03 2.193257860e-02 1.714990223e-02
1.901002004e+04 1.887551863e+00 8.907870815e-01 8.880095086e-01 9.842328573e-03 2.117858735e-02 1.799674314e-02
1.921442886e+04 1.879304616e+00 9.312684096e-01 8.430073348e-01 9.843237553e-03 2.037580118e-02 1.886456483e-02
1.941883768e+04 1.863125410e+00 9.749808215e-01 8.023848661e-01 9.882621888e-03 1.954366807e-02 1.974553935e-02
1.962324649e+04 1.839423138e+00 1.021648943e+00 7.660569784e-01 9.959657207e-03 1.870077941e-02 2.063088765e-02
1.982765531e+04 1.808713582e+00 1.070938460e+00 7.339043716e-01 1.007388480e-02 1.786405061e-02 2.151096808e-02
2.003206413e+04 1.771604013e+00 1.122454149e+00 7.057852610e-01 1.022516574e-02 1.704809937e-02 2.237539964e-02
2.023647295e+04 1.728776401e+00 1.175740781e+00 6.815451158e-01 1.041363414e-02 1.626486801e-02 2.321322002e-02
2.044088176e+04 1.680969580e+00 1.230287141e+00 6.610246390e-01 1.063964913e-02 1.552349435e-02 2.401307779e-02
2.064529058e+04 1.628960510e+00 1.285533200e+00 6.440661440e-01 1.090374544e-02 1.483040665e-02 2.476345887e-02
2.084969940e+04 1.573545426e+00 1.340879911e+00 6.305182802e-01 1.120658343e-02 1.418959115e-02 2.545293848e-02
2.105410822e+04 1.515521348e+00 1.395701450e+00 6.202394941e-01 1.154889607e-02 1.360296908e-02 2.607046063e-02
2.125851703e+04 1.455668388e+00 1.449359022e+00 6.131003319e-01 1.193143458e-02 1.307081877e-02 2.660563648e-02
2.146292585e+04 1.394733742e+00 1.501215318e+00 6.089846846e-01 1.235491232e-02 1.259219743e-02 2.704904912e-02
2.166733467e+04 1.333417749e+00 1.550649288e+00 6.077902948e-01 1.281994633e-02 1.216531371e-02 2.739256822e-02
2.187174349e+04 1.272362881e+00 1.597069830e+00 6.094283991e-01 1.332699844e-02 1.178785116e-02 2.762963886e-02
2.207615230e+04 1.212145328e+00 1.639928346e+00 6.138228557e-01 1.387631419e-02 1.145721747e-02 2.775555749e-02
2.228056112e+04 1.153269659e+00 1.678729401e+00 6.209086607e-01 1.446786206e-02 1.117073681e-02 2.776770305e-02
2.248496994e+04 1.096166526e+00 1.713039008e+00 6.306300326e-01 1.510127467e-02 1.092578135e-02 2.766570752e-02
2.268937876e+04 1.041192885e+00 1.742490792e+00 6.429380543e-01 1.577579022e-02 1.071986594e-02 2.745155919e-02
2.289378758e+04 9.886344539e-01 1.766789920e+00 6.577879434e-01 1.649019803e-02 1.055070771e-02 2.712962091e-02
2.309819639e+04 9.387100993e-01 1.785714871e+00 6.751359969e-01 1.724278904e-02 1.041625929e-02 2.670655012e-02
2.330260521e+04 8.915774914e-01 1.799117510e+00 6.949362642e-01 1.803131193e-02 1.031472795e-02 2.619112212e-02
2.350701403e+04 8.473396618e-01 1.806921650e+00 7.171370194e-01 1.885293768e-02 1.024458041e-02 2.559395417e-02
2.371142285e+04 8.060520488e-01 1.809120448e+00 7.416771168e-01 1.970423309e-02 1.020454045e-02 2.492714126e-02
2.391583166e+04 7.677296375e-01 1.805772927e+00 7.684823398e-01 2.058114496e-02 1.019358131e-02 2.420382095e-02
2.412024048e+04 7.323539497e-01 1.796999887e+00 7.974618695e-01 2.147899559e-02 1.021091444e-02 2.343769415e-02
2.432464930e+04 6.998796537e-01 1.782979331e+00 8.285050329e-01 2.239249155e-02 1.025597593e-02 2.264252728e-02
2.452905812e+04 6.702404835e-01 1.763941225e+00 8.614784067e-01 2.331574571e-02 1.032841188e-02 2.183167002e-02
