time            sCj             sCk            
7.094188377e+01 1.371188502e+01 1.194044291e+01
7.154308617e+01 1.392207094e+01 1.213092551e+01
7.214428858e+01 1.413282490e+01 1.232227686e+01
7.274549098e+01 1.434408557e+01 1.251445088e+01
7.334669339e+01 1.455579087e+01 1.270740061e+01
7.394789579e+01 1.476787805e+01 1.290107813e+01
7.454909820e+01 1.498028364e+01 1.309543458e+01
7.515030060e+01 1.519294351e+01 1.329042016e+01
7.575150301e+01 1.540579287e+01 1.348598410e+01
7.635270541e+01 1.561876633e+01 1.368207470e+01
7.695390782e+01 1.583179788e+01 1.387863929e+01
7.755511022e+01 1.604482096e+01 1.407562424e+01
7.815631263e+01 1.625776848e+01 1.427297499e+01
7.875751503e+01 1.647057288e+01 1.447063606e+01
7.935871743e+01 1.668316615e+01 1.466855107e+01
7.995991984e+01 1.689547990e+01 1.486666275e+01
8.056112224e+01 1.710744543e+01 1.506491299e+01
8.116232465e+01 1.731899377e+01 1.526324289e+01
8.176352705e+01 1.753005577e+01 1.546159277e+01
8.236472946e+01 1.774056217e+01 1.565990225e+01
8.296593186e+01 1.795044364e+01 1.585811030e+01
8.356713427e+01 1.815963094e+01 1.605615528e+01
8.416833667e+01 1.836805493e+01 1.625397506e+01
8.476953908e+01 1.857564672e+01 1.645150704e+01
8.537074148e+01 1.878233775e+01 1.664868827e+01
8.597194389e+01 1.898805987e+01 1.684545551e+01
8.657314629e+01 1.919274549e+01 1.704174535e+01
8.717434870e+01 1.939632762e+01 1.723749427e+01
8.777555110e+01 1.959874007e+01 1.743263879e+01
8.837675351e+01 1.979991747e+01 1.762711550e+01
8.897795591e+01 1.999979544e+01 1.782086125e+01
8.957915832e+01 2.019831069e+01 1.801381320e+01
9.018036072e+01 2.039540111e+01 1.820590896e+01
9.078156313e+01 2.059100591e+01 1.839708670e+01
9.138276553e+01 2.078506573e+01 1.858728524e+01
9.198396794e+01 2.097752272e+01 1.877644419e+01
9.258517034e+01 2.116832066e+01 1.896450408e+01
9.318637275e+01 2.135740507e+01 1.915140640e+01
9.378757515e+01 2.154472328e+01 1.933709379e+01
9.438877756e+01 2.173022455e+01 1.952151010e+01
9.498997996e+01 2.191386014e+01 1.970460050e+01
9.559118236e+01 2.209558341e+01 1.988631161e+01
9.619238477e+01 2.227534985e+01 2.006659155e+01
9.679358717e+01 2.245311721e+01 2.024539005e+01
9.739478958e+01 2.262884550e+01 2.042265855e+01
9.799599198e+01 2.280249710e+01 2.059835026e+01
9.859719439e+01 2.297403674e+01 2.077242026e+01
9.919839679e+01 2.314343161e+01 2.094482552e+01
9.979959920e+01 2.331065134e+01 2.111552502e+01
1.004008016e+02 2.347566805e+01 2.128447974e+01
1.010020040e+02 2.363845633e+01 2.145165276e+01
1.016032064e+02 2.379899330e+01 2.161700928e+01
1.022044088e+02 2.395725857e+01 2.178051665e+01
1.028056112e+02 2.411323423e+01 2.194214439e+01
1.034068136e+02 2.426690486e+01 2.210186423e+01
1.040080160e+02 2.441825748e+01 2.225965009e+01
1.046092184e+02 2.456728154e+01 2.241547810e+01
1.052104208e+02 2.471396890e+01 2.256932663e+01
1.058116232e+02 2.485831373e+01 2.272117620e+01
1.064128257e+02 2.500031252e+01 2.287100954e+01
1.070140281e+02 2.513996398e+01 2.301881153e+01
1.076152305e+02 2.527726903e+01 2.316456917e+01
1.082164329e+02 2.541223071e+01 2.330827161e+01
1.088176353e+02 2.554485412e+01 2.344991001e+01
1.094188377e+02 2.567514633e+01 2.358947760e+01
1.100200401e+02 2.580311633e+01 2.372696953e+01
1.106212425e+02 2.592877495e+01 2.386238292e+01
1.112224449e+02 2.605213477e+01 2.399571672e+01
1.118236473e+02 2.617321004e+01 2.412697173e+01
1.124248497e+02 2.629201663e+01 2.425615046e+01
1.130260521e+02 2.640857189e+01 2.438325715e+01
1.136272545e+02 2.652289461e+01 2.450829763e+01
1.142284569e+02 2.663500492e+01 2.463127930e+01
1.148296593e+02 2.674492422e+01 2.475221105e+01
1.154308617e+02 2.685267506e+01 2.487110321e+01
1.160320641e+02 2.695828110e+01 2.498796742e+01
1.166332665e+02 2.706176700e+01 2.510281663e+01
1.172344689e+02 2.716315835e+01 2.521566501e+01
1.178356713e+02 2.726248161e+01 2.532652785e+01
1.184368737e+02 2.735976397e+01 2.543542153e+01
1.190380762e+02 2.745503335e+01 2.554236341e+01
1.196392786e+02 2.754831828e+01 2.564737183e+01
1.202404810e+02 2.763964784e+01 2.575046597e+01
1.208416834e+02 2.772905160e+01 2.585166582e+01
1.214428858e+02 2.781655952e+01 2.595099211e+01
1.220440882e+02 2.790220193e+01 2.604846625e+01
1.226452906e+02 2.798600946e+01 2.614411028e+01
1.232464930e+02 2.806801293e+01 2.623794679e+01
1.238476954e+02 2.814824339e+01 2.632999887e+01
1.244488978e+02 2.822673196e+01 2.642029006e+01
1.250501002e+02 2.830350985e+01 2.650884430e+01
1.256513026e+02 2.837860831e+01 2.659568588e+01
1.262525050e+02 2.845205855e+01 2.668083936e+01
1.268537074e+02 2.852389169e+01 2.676432958e+01
1.274549098e+02 2.859413880e+01 2.684618156e+01
1.280561122e+02 2.866283075e+01 2.692642049e+01
1.286573146e+02 2.872999828e+01 2.700507169e+01
1.292585170e+02 2.879567189e+01 2.708216054e+01
1.298597194e+02 2.885988185e+01 2.715771249e+01
1.304609218e+02 2.892265817e+01 2.723175299e+01
1.310621242e+02 2.898403055e+01 2.730430748e+01
1.316633267e+02 2.904402840e+01 2.737540134e+01
1.322645291e+02 2.910268078e+01 2.744505988e+01
1.328657315e+02 2.916001638e+01 2.751330829e+01
1.334669339e+02 2.921606354e+01 2.758017166e+01
1.340681363e+02 2.927085020e+01 2.764567489e+01
1.346693387e+02 2.932440391e+01 2.770984275e+01
1.352705411e+02 2.937675180e+01 2.777269978e+01
1.358717435e+02 2.942792057e+01 2.783427034e+01
1.364729459e+02 2.947793649e+01 2.789457854e+01
1.370741483e+02 2.952682541e+01 2.795364825e+01
1.376753507e+02 2.957461271e+01 2.801150311e+01
1.382765531e+02 2.962132333e+01 2.806816645e+01
1.388777555e+02 2.966698176e+01 2.812366137e+01
1.394789579e+02 2.971161201e+01 2.817801064e+01
1.400801603e+02 2.975523766e+01 2.823123675e+01
1.406813627e+02 2.979788183e+01 2.828336189e+01
1.412825651e+02 2.983956715e+01 2.833440793e+01
1.418837675e+02 2.988031583e+01 2.838439642e+01
1.424849699e+02 2.992014959e+01 2.843334859e+01
1.430861723e+02 2.995908972e+01 2.848128535e+01
1.436873747e+02 2.999715706e+01 2.852822727e+01
1.442885772e+02 3.003437198e+01 2.857419459e+01
1.448897796e+02 3.007075442e+01 2.861920723e+01
1.454909820e+02 3.010632389e+01 2.866328475e+01
1.460921844e+02 3.014109946e+01 2.870644638e+01
1.466933868e+02 3.017509976e+01 2.874871104e+01
1.472945892e+02 3.020834301e+01 2.879009728e+01
1.478957916e+02 3.024084701e+01 2.883062333e+01
1.484969940e+02 3.027262915e+01 2.887030708e+01
1.490981964e+02 3.030370641e+01 2.890916611e+01
1.496993988e+02 3.033409539e+01 2.894721765e+01
1.503006012e+02 3.036381227e+01 2.898447859e+01
1.509018036e+02 3.039287288e+01 2.902096553e+01
1.515030060e+02 3.042129264e+01 2.905669473e+01
1.521042084e+02 3.044908663e+01 2.909168212e+01
1.527054108e+02 3.047626955e+01 2.912594334e+01
1.533066132e+02 3.050285575e+01 2.915949370e+01
1.539078156e+02 3.052885923e+01 2.919234821e+01
1.545090180e+02 3.055429365e+01 2.922452158e+01
1.551102204e+02 3.057917235e+01 2.925602821e+01
1.557114228e+02 3.060350831e+01 2.928688222e+01
1.563126253e+02 3.062731422e+01 2.931709743e+01
1.569138277e+02 3.065060246e+01 2.934668737e+01
1.575150301e+02 3.067338508e+01 2.937566530e+01
1.581162325e+02 3.069567387e+01 2.940404420e+01
1.587174349e+02 3.071748029e+01 2.943183677e+01
1.593186373e+02 3.073881554e+01 2.945905544e+01
1.599198397e+02 3.075969054e+01 2.948571240e+01
1.605210421e+02 3.078011593e+01 2.951181955e+01
1.611222445e+02 3.080010209e+01 2.953738857e+01
1.617234469e+02 3.081965916e+01 2.956243086e+01
1.623246493e+02 3.083879700e+01 2.958695760e+01
1.629258517e+02 3.085752525e+01 2.961097970e+01
1.635270541e+02 3.087585329e+01 2.963450788e+01
1.641282565e+02 3.089379028e+01 2.965755259e+01
1.647294589e+02 3.091134517e+01 2.968012407e+01
1.653306613e+02 3.092852665e+01 2.970223234e+01
1.659318637e+02 3.094534322e+01 2.972388720e+01
1.665330661e+02 3.096180317e+01 2.974509824e+01
1.671342685e+02 3.097791459e+01 2.976587484e+01
1.677354709e+02 3.099368534e+01 2.978622617e+01
1.683366733e+02 3.100912313e+01 2.980616121e+01
1.689378758e+02 3.102423545e+01 2.982568876e+01
1.695390782e+02 3.103902962e+01 2.984481738e+01
1.701402806e+02 3.105351277e+01 2.986355550e+01
1.707414830e+02 3.106769188e+01 2.988191133e+01
1.713426854e+02 3.108157372e+01 2.989989292e+01
1.719438878e+02 3.109516493e+01 2.991750812e+01
1.725450902e+02 3.110847197e+01 2.993476465e+01
1.731462926e+02 3.112150116e+01 2.995167002e+01
1.737474950e+02 3.113425865e+01 2.996823160e+01
1.743486974e+02 3.114675044e+01 2.998445659e+01
1.749498998e+02 3.115898241e+01 3.000035205e+01
1.755511022e+02 3.117096028e+01 3.001592486e+01
1.761523046e+02 3.118268962e+01 3.003118178e+01
1.767535070e+02 3.119417590e+01 3.004612939e+01
1.773547094e+02 3.120542443e+01 3.006077415e+01
1.779559118e+02 3.121644041e+01 3.007512238e+01
1.785571142e+02 3.122722890e+01 3.008918025e+01
1.791583166e+02 3.123779487e+01 3.010295381e+01
1.797595190e+02 3.124814314e+01 3.011644897e+01
1.803607214e+02 3.125827844e+01 3.012967151e+01
1.809619238e+02 3.126820537e+01 3.014262710e+01
1.815631263e+02 3.127792843e+01 3.015532127e+01
