time            Cj              Ck              Br             
5.290581162e+01 1.056400028e+01 2.627508256e+00 3.797672008e+00
5.350701403e+01 1.057708597e+01 2.654952403e+00 3.747495995e+00
5.410821643e+01 1.059014579e+01 2.682135730e+00 3.697850797e+00
5.470941884e+01 1.060317684e+01 2.709059902e+00 3.648733737e+00
5.531062124e+01 1.061617633e+01 2.735726559e+00 3.600142096e+00
5.591182365e+01 1.062914157e+01 2.762137320e+00 3.552073116e+00
5.651302605e+01 1.064206997e+01 2.788293781e+00 3.504523999e+00
5.711422846e+01 1.065495904e+01 2.814197522e+00 3.457491910e+00
5.771543086e+01 1.066780638e+01 2.839850102e+00 3.410973969e+00
5.831663327e+01 1.068060971e+01 2.865253064e+00 3.364967263e+00
5.891783567e+01 1.069336679e+01 2.890407935e+00 3.319468835e+00
5.951903808e+01 1.070607549e+01 2.915316228e+00 3.274475693e+00
6.012024048e+01 1.071873377e+01 2.939979441e+00 3.229984807e+00
6.072144289e+01 1.073133963e+01 2.964399061e+00 3.185993109e+00
6.132264529e+01 1.074389118e+01 2.988576564e+00 3.142497496e+00
6.192384770e+01 1.075638660e+01 3.012513416e+00 3.099494829e+00
6.252505010e+01 1.076882411e+01 3.036211073e+00 3.056981936e+00
6.312625251e+01 1.078120203e+01 3.059670985e+00 3.014955610e+00
6.372745491e+01 1.079351874e+01 3.082894593e+00 2.973412614e+00
6.432865731e+01 1.080577268e+01 3.105883334e+00 2.932349678e+00
6.492985972e+01 1.081796234e+01 3.128638638e+00 2.891763502e+00
6.553106212e+01 1.083008629e+01 3.151161931e+00 2.851650757e+00
6.613226453e+01 1.084214316e+01 3.173454638e+00 2.812008087e+00
6.673346693e+01 1.085413162e+01 3.195518178e+00 2.772832107e+00
6.733466934e+01 1.086605041e+01 3.217353967e+00 2.734119410e+00
6.793587174e+01 1.087789832e+01 3.238963422e+00 2.695866563e+00
6.853707415e+01 1.088967419e+01 3.260347958e+00 2.658070107e+00
6.913827655e+01 1.090137693e+01 3.281508989e+00 2.620726566e+00
6.973947896e+01 1.091300548e+01 3.302447927e+00 2.583832440e+00
7.034068136e+01 1.092455883e+01 3.323166188e+00 2.547384211e+00
7.094188377e+01 1.093603604e+01 3.343665186e+00 2.511378342e+00
7.154308617e+01 1.094743620e+01 3.363946337e+00 2.475811279e+00
7.214428858e+01 1.095875845e+01 3.384011056e+00 2.440679451e+00
7.274549098e+01 1.097000197e+01 3.403860762e+00 2.405979276e+00
7.334669339e+01 1.098116599e+01 3.423496875e+00 2.371707154e+00
7.394789579e+01 1.099224978e+01 3.442920816e+00 2.337859476e+00
7.454909820e+01 1.100325267e+01 3.462134010e+00 2.304432621e+00
7.515030060e+01 1.101417400e+01 3.481137882e+00 2.271422958e+00
7.575150301e+01 1.102501317e+01 3.499933861e+00 2.238826846e+00
7.635270541e+01 1.103576963e+01 3.518523376e+00 2.206640638e+00
7.695390782e+01 1.104644283e+01 3.536907862e+00 2.174860681e+00
7.755511022e+01 1.105703230e+01 3.555088753e+00 2.143483315e+00
7.815631263e+01 1.106753758e+01 3.573067488e+00 2.112504877e+00
7.875751503e+01 1.107795826e+01 3.590845506e+00 2.081921699e+00
7.935871743e+01 1.108829395e+01 3.608424253e+00 2.051730113e+00
7.995991984e+01 1.109854431e+01 3.625805172e+00 2.021926448e+00
8.056112224e+01 1.110870903e+01 3.642989710e+00 1.992507036e+00
8.116232465e+01 1.111878782e+01 3.659979319e+00 1.963468205e+00
8.176352705e+01 1.112878044e+01 3.676775450e+00 1.934806290e+00
