time            C               B              
4.729458918e+03 3.920858986e+00 5.682106179e+01
4.769539078e+03 3.921323152e+00 5.704900894e+01
4.809619238e+03 3.921782881e+00 5.727497539e+01
4.849699399e+03 3.922238237e+00 5.749898723e+01
4.889779559e+03 3.922689280e+00 5.772106999e+01
4.929859719e+03 3.923136070e+00 5.794124884e+01
4.969939880e+03 3.923578666e+00 5.815954852e+01
5.010020040e+03 3.924017126e+00 5.837599331e+01
5.050100200e+03 3.924451507e+00 5.859060699e+01
5.090180361e+03 3.924881865e+00 5.880341303e+01
5.130260521e+03 3.925308254e+00 5.901443446e+01
5.170340681e+03 3.925730728e+00 5.922369392e+01
5.210420842e+03 3.926149340e+00 5.943121359e+01
5.250501002e+03 3.926564142e+00 5.963701536e+01
5.290581162e+03 3.926975184e+00 5.984112072e+01
5.330661323e+03 3.927382517e+00 6.004355081e+01
5.370741483e+03 3.927786189e+00 6.024432633e+01
5.410821643e+03 3.928186250e+00 6.044346774e+01
5.450901804e+03 3.928582746e+00 6.064099512e+01
5.490981964e+03 3.928975725e+00 6.083692821e+01
5.531062124e+03 3.929365231e+00 6.103128639e+01
5.571142285e+03 3.929751311e+00 6.122408877e+01
5.611222445e+03 3.930134007e+00 6.141535415e+01
5.651302605e+03 3.930513364e+00 6.160510099e+01
5.691382766e+03 3.930889424e+00 6.179334743e+01
5.731462926e+03 3.931262230e+00 6.198011137e+01
5.771543086e+03 3.931631823e+00 6.216541040e+01
5.811623246e+03 3.931998244e+00 6.234926183e+01
5.851703407e+03 3.932361532e+00 6.253168266e+01
5.891783567e+03 3.932721726e+00 6.271268965e+01
5.931863727e+03 3.933078866e+00 6.289229932e+01
5.971943888e+03 3.933432988e+00 6.307052787e+01
6.012024048e+03 3.933784131e+00 6.324739127e+01
6.052104208e+03 3.934132331e+00 6.342290523e+01
6.092184369e+03 3.934477625e+00 6.359708526e+01
6.132264529e+03 3.934820047e+00 6.376994660e+01
6.172344689e+03 3.935159634e+00 6.394150420e+01
6.212424850e+03 3.935496420e+00 6.411177285e+01
6.252505010e+03 3.935830438e+00 6.428076710e+01
6.292585170e+03 3.936161724e+00 6.444850129e+01
6.332665331e+03 3.936490308e+00 6.461498950e+01
6.372745491e+03 3.936816219e+00 6.478024562e+01
6.412825651e+03 3.937139488e+00 6.494428334e+01
6.452905812e+03 3.937460145e+00 6.510711613e+01
6.492985972e+03 3.937778245e+00 6.526875725e+01
6.533066132e+03 3.938093791e+00 6.542921973e+01
6.573146293e+03 3.938406821e+00 6.558851648e+01
6.613226453e+03 3.938717365e+00 6.574666018e+01
6.653306613e+03 3.939025453e+00 6.590366330e+01
6.693386774e+03 3.939331111e+00 6.605953816e+01
6.733466934e+03 3.939634367e+00 6.621429691e+01
6.773547094e+03 3.939935250e+00 6.636795151e+01
6.813627255e+03 3.940233788e+00 6.652051378e+01
6.853707415e+03 3.940530005e+00 6.667199537e+01
6.893787575e+03 3.940823930e+00 6.682240766e+01
6.933867735e+03 3.941115587e+00 6.697176195e+01
6.973947896e+03 3.941405003e+00 6.712006930e+01
7.014028056e+03 3.941692202e+00 6.726734070e+01
7.054108216e+03 3.941977209e+00 6.741358694e+01
7.094188377e+03 3.942260049e+00 6.755881868e+01
7.134268537e+03 3.942540746e+00 6.770304643e+01
7.174348697e+03 3.942819323e+00 6.784628054e+01
7.214428858e+03 3.943095804e+00 6.798853123e+01
7.254509018e+03 3.943370212e+00 6.812980857e+01
7.294589178e+03 3.943642569e+00 6.827012248e+01
7.334669339e+03 3.943912899e+00 6.840948276e+01
7.374749499e+03 3.944181222e+00 6.854789906e+01
7.414829659e+03 3.944447561e+00 6.868538088e+01
7.454909820e+03 3.944711936e+00 6.882193765e+01
7.494989980e+03 3.944974370e+00 6.895757860e+01
7.535070140e+03 3.945234883e+00 6.909231287e+01
7.575150301e+03 3.945493495e+00 6.922614950e+01
7.615230461e+03 3.945750226e+00 6.935909736e+01
7.655310621e+03 3.946005097e+00 6.949116524e+01
7.695390782e+03 3.946258128e+00 6.962236180e+01
7.735470942e+03 3.946509337e+00 6.975269557e+01
7.775551102e+03 3.946758743e+00 6.988217496e+01
7.815631263e+03 3.947006366e+00 7.001080826e+01
7.855711423e+03 3.947252223e+00 7.013860371e+01
7.895791583e+03 3.947496334e+00 7.026556939e+01
7.935871743e+03 3.947738716e+00 7.039171329e+01
7.975951904e+03 3.947979388e+00 7.051704332e+01
8.016032064e+03 3.948218366e+00 7.064156723e+01
8.056112224e+03 3.948455668e+00 7.076529270e+01
8.096192385e+03 3.948691311e+00 7.088822733e+01
8.136272545e+03 3.948925312e+00 7.101037864e+01
8.176352705e+03 3.949157688e+00 7.113175404e+01
8.216432866e+03 3.949388454e+00 7.125236072e+01
8.256513026e+03 3.949617628e+00 7.137220597e+01
8.296593186e+03 3.949845225e+00 7.149129688e+01
8.336673347e+03 3.950071261e+00 7.160964050e+01
8.376753507e+03 3.950295752e+00 7.172724375e+01
8.416833667e+03 3.950518712e+00 7.184411345e+01
8.456913828e+03 3.950740158e+00 7.196025637e+01
8.496993988e+03 3.950960103e+00 7.207567919e+01
8.537074148e+03 3.951178563e+00 7.219038849e+01
8.577154309e+03 3.951395552e+00 7.230439079e+01
8.617234469e+03 3.951611084e+00 7.241769252e+01
8.657314629e+03 3.951825175e+00 7.253030000e+01
8.697394790e+03 3.952037837e+00 7.264221952e+01
8.737474950e+03 3.952249084e+00 7.275345727e+01
8.777555110e+03 3.952458931e+00 7.286401937e+01
8.817635271e+03 3.952667390e+00 7.297391186e+01
8.857715431e+03 3.952874475e+00 7.308314071e+01
8.897795591e+03 3.953080199e+00 7.319171182e+01
8.937875752e+03 3.953284575e+00 7.329963102e+01
8.977955912e+03 3.953487616e+00 7.340690408e+01
9.018036072e+03 3.953689334e+00 7.351353664e+01
9.058116232e+03 3.953889742e+00 7.361953435e+01
9.098196393e+03 3.954088852e+00 7.372490276e+01
9.138276553e+03 3.954286677e+00 7.382964737e+01
9.178356713e+03 3.954483227e+00 7.393377361e+01
9.218436874e+03 3.954678516e+00 7.403728685e+01
9.258517034e+03 3.954872555e+00 7.414019238e+01
9.298597194e+03 3.955065355e+00 7.424249537e+01
9.338677355e+03 3.955256928e+00 7.434420104e+01
9.378757515e+03 3.955447285e+00 7.444531452e+01
9.418837675e+03 3.955636437e+00 7.454584085e+01
9.458917836e+03 3.955824396e+00 7.464578505e+01
9.498997996e+03 3.956011172e+00 7.474515205e+01
9.539078156e+03 3.956196775e+00 7.484394671e+01
9.579158317e+03 3.956381218e+00 7.494217383e+01
9.619238477e+03 3.956564509e+00 7.503983822e+01
9.659318637e+03 3.956746659e+00 7.513694459e+01
9.699398798e+03 3.956927679e+00 7.523349760e+01
9.739478958e+03 3.957107579e+00 7.532950187e+01
9.779559118e+03 3.957286369e+00 7.542496196e+01
9.819639279e+03 3.957464058e+00 7.551988233e+01
9.859719439e+03 3.957640656e+00 7.561426746e+01
9.899799599e+03 3.957816174e+00 7.570812176e+01
9.939879760e+03 3.957990620e+00 7.580144959e+01
9.979959920e+03 3.958164004e+00 7.589425525e+01
1.002004008e+04 3.958336335e+00 7.598654302e+01
1.006012024e+04 3.958507622e+00 7.607831707e+01
1.010020040e+04 3.958677875e+00 7.616958159e+01
1.014028056e+04 3.958847103e+00 7.626034069e+01
1.018036072e+04 3.959015313e+00 7.635059845e+01
1.022044088e+04 3.959182516e+00 7.644035892e+01
1.026052104e+04 3.959348720e+00 7.652962607e+01
1.030060120e+04 3.959513933e+00 7.661840385e+01
1.034068136e+04 3.959678164e+00 7.670669613e+01
1.038076152e+04 3.959841422e+00 7.679450680e+01
1.042084168e+04 3.960003714e+00 7.688183966e+01
1.046092184e+04 3.960165048e+00 7.696869851e+01
1.050100200e+04 3.960325434e+00 7.705508707e+01
1.054108216e+04 3.960484878e+00 7.714100905e+01
1.058116232e+04 3.960643389e+00 7.722646808e+01
1.062124248e+04 3.960800975e+00 7.731146779e+01
1.066132265e+04 3.960957643e+00 7.739601176e+01
1.070140281e+04 3.961113401e+00 7.748010353e+01
1.074148297e+04 3.961268257e+00 7.756374661e+01
1.078156313e+04 3.961422218e+00 7.764694448e+01
1.082164329e+04 3.961575291e+00 7.772970056e+01
1.086172345e+04 3.961727484e+00 7.781201822e+01
1.090180361e+04 3.961878805e+00 7.789390084e+01
1.094188377e+04 3.962029259e+00 7.797535175e+01
1.098196393e+04 3.962178855e+00 7.805637424e+01
1.102204409e+04 3.962327599e+00 7.813697157e+01
1.106212425e+04 3.962475498e+00 7.821714696e+01
1.110220441e+04 3.962622560e+00 7.829690360e+01
1.114228457e+04 3.962768790e+00 7.837624464e+01
1.118236473e+04 3.962914196e+00 7.845517320e+01
1.122244489e+04 3.963058785e+00 7.853369239e+01
1.126252505e+04 3.963202562e+00 7.861180527e+01
1.130260521e+04 3.963345534e+00 7.868951487e+01
1.134268537e+04 3.963487708e+00 7.876682419e+01
1.138276553e+04 3.963629091e+00 7.884373618e+01
1.142284569e+04 3.963769687e+00 7.892025381e+01
1.146292585e+04 3.963909505e+00 7.899637997e+01
1.150300601e+04 3.964048549e+00 7.907211755e+01
1.154308617e+04 3.964186826e+00 7.914746942e+01
1.158316633e+04 3.964324342e+00 7.922243838e+01
1.162324649e+04 3.964461103e+00 7.929702724e+01
1.166332665e+04 3.964597114e+00 7.937123875e+01
1.170340681e+04 3.964732382e+00 7.944507567e+01
1.174348697e+04 3.964866913e+00 7.951854072e+01
1.178356713e+04 3.965000712e+00 7.959163657e+01
1.182364729e+04 3.965133784e+00 7.966436590e+01
1.186372745e+04 3.965266137e+00 7.973673135e+01
1.190380762e+04 3.965397774e+00 7.980873550e+01
1.194388778e+04 3.965528701e+00 7.988038095e+01
1.198396794e+04 3.965658924e+00 7.995167027e+01
1.202404810e+04 3.965788449e+00 8.002260599e+01
1.206412826e+04 3.965917280e+00 8.009319062e+01
1.210420842e+04 3.966045423e+00 8.016342666e+01
1.214428858e+04 3.966172884e+00 8.023331655e+01
1.218436874e+04 3.966299666e+00 8.030286274e+01
1.222444890e+04 3.966425776e+00 8.037206764e+01
1.226452906e+04 3.966551218e+00 8.044093365e+01
1.230460922e+04 3.966675998e+00 8.050946315e+01
1.234468938e+04 3.966800120e+00 8.057765847e+01
1.238476954e+04 3.966923590e+00 8.064552195e+01
1.242484970e+04 3.967046412e+00 8.071305589e+01
1.246492986e+04 3.967168590e+00 8.078026256e+01
1.250501002e+04 3.967290131e+00 8.084714424e+01
1.254509018e+04 3.967411038e+00 8.091370316e+01
1.258517034e+04 3.967531316e+00 8.097994154e+01
1.262525050e+04 3.967650970e+00 8.104586159e+01
1.266533066e+04 3.967770005e+00 8.111146547e+01
1.270541082e+04 3.967888424e+00 8.117675535e+01
1.274549098e+04 3.968006233e+00 8.124173336e+01
1.278557114e+04 3.968123435e+00 8.130640163e+01
1.282565130e+04 3.968240036e+00 8.137076224e+01
1.286573146e+04 3.968356040e+00 8.143481730e+01
1.290581162e+04 3.968471450e+00 8.149856885e+01
1.294589178e+04 3.968586272e+00 8.156201892e+01
1.298597194e+04 3.968700509e+00 8.162516956e+01
1.302605210e+04 3.968814166e+00 8.168802276e+01
1.306613226e+04 3.968927246e+00 8.175058052e+01
1.310621242e+04 3.969039755e+00 8.181284479e+01
1.314629259e+04 3.969151696e+00 8.187481754e+01
1.318637275e+04 3.969263073e+00 8.193650070e+01
1.322645291e+04 3.969373890e+00 8.199789617e+01
1.326653307e+04 3.969484151e+00 8.205900587e+01
1.330661323e+04 3.969593859e+00 8.211983167e+01
1.334669339e+04 3.969703020e+00 8.218037544e+01
