time            HelperCCj       sHelperCCj      LeakWasteAC    
0.000000000e+00 1.500000000e+02 1.500000000e+02 0.000000000e+00
2.044088176e+02 1.497997334e+02 1.499386943e+02 6.124200426e-02
4.088176353e+02 1.496099011e+02 1.498774128e+02 1.223475982e-01
6.132264529e+02 1.494140544e+02 1.498161535e+02 1.833189980e-01
8.176352705e+02 1.492122496e+02 1.497549202e+02 2.441578032e-01
1.022044088e+03 1.490044663e+02 1.496937176e+02 3.048656976e-01
1.226452906e+03 1.487906330e+02 1.496325493e+02 3.654443898e-01
1.430861723e+03 1.485706426e+02 1.495714184e+02 4.258955735e-01
1.635270541e+03 1.483443608e+02 1.495103268e+02 4.862208998e-01
1.839679359e+03 1.481116327e+02 1.494492761e+02 5.464219570e-01
2.044088176e+03 1.478722869e+02 1.493882675e+02 6.065002572e-01
2.248496994e+03 1.476261400e+02 1.493273019e+02 6.664572253e-01
2.452905812e+03 1.473729996e+02 1.492663800e+02 7.262941930e-01
2.657314629e+03 1.471126683e+02 1.492055024e+02 7.860123935e-01
2.861723447e+03 1.468449469e+02 1.491446694e+02 8.456129582e-01
3.066132265e+03 1.465696378e+02 1.490838814e+02 9.050969156e-01
3.270541082e+03 1.462865494e+02 1.490231385e+02 9.644651893e-01
3.474949900e+03 1.459954989e+02 1.489624411e+02 1.023718598e+00
3.679358717e+03 1.456963173e+02 1.489017891e+02 1.082857857e+00
3.883767535e+03 1.453888526e+02 1.488411827e+02 1.141883576e+00
4.088176353e+03 1.450729745e+02 1.487806218e+02 1.200796261e+00
4.292585170e+03 1.447485788e+02 1.487201065e+02 1.259596315e+00
4.496993988e+03 1.444155913e+02 1.486596366e+02 1.318284037e+00
4.701402806e+03 1.440739723e+02 1.485992123e+02 1.376859628e+00
4.905811623e+03 1.437237208e+02 1.485388333e+02 1.435323183e+00
5.110220441e+03 1.433648789e+02 1.484784996e+02 1.493674698e+00
5.314629259e+03 1.429975348e+02 1.484182110e+02 1.551914068e+00
