time            shA             shB             shC            
7.755511022e+03 2.275889050e+00 8.486533041e+00 4.996416039e+00
7.775551102e+03 2.249596147e+00 8.288483624e+00 5.070202912e+00
7.795591182e+03 2.226392065e+00 8.091619015e+00 5.137514394e+00
7.815631263e+03 2.206096475e+00 7.896604156e+00 5.197898711e+00
7.835671343e+03 2.188535149e+00 7.704032724e+00 5.250963514e+00
7.855711423e+03 2.173539730e+00 7.514427409e+00 5.296386014e+00
7.875751503e+03 2.160947508e+00 7.328241375e+00 5.333922581e+00
7.895791583e+03 2.150601224e+00 7.145860666e+00 5.363417315e+00
7.915831663e+03 2.142348908e+00 6.967607317e+00 5.384808986e+00
7.935871743e+03 2.136043779e+00 6.793742966e+00 5.398135751e+00
7.955911824e+03 2.131544185e+00 6.624472812e+00 5.403537036e+00
7.975951904e+03 2.128713623e+00 6.459949776e+00 5.401252116e+00
7.995991984e+03 2.127420813e+00 6.300278794e+00 5.391615080e+00
8.016032064e+03 2.127539829e+00 6.145521159e+00 5.375046070e+00
8.036072144e+03 2.128950279e+00 5.995698893e+00 5.352039140e+00
8.056112224e+03 2.131537511e+00 5.850799097e+00 5.323147207e+00
8.076152305e+03 2.135192832e+00 5.710778261e+00 5.288964884e+00
8.096192385e+03 2.139813711e+00 5.575566500e+00 5.250110296e+00
8.116232465e+03 2.145303951e+00 5.445071668e+00 5.207206933e+00
8.136272545e+03 2.151573808e+00 5.319183307e+00 5.160866652e+00
8.156312625e+03 2.158540032e+00 5.197776387e+00 5.111674781e+00
8.176352705e+03 2.166125834e+00 5.080714783e+00 5.060177977e+00
8.196392786e+03 2.174260763e+00 4.967854433e+00 5.006875303e+00
8.216432866e+03 2.182880496e+00 4.859046166e+00 4.952212590e+00
8.236472946e+03 2.191926559e+00 4.754138171e+00 4.896579814e+00
8.256513026e+03 2.201345975e+00 4.652978083e+00 4.840311299e+00
8.276553106e+03 2.211090869e+00 4.555414726e+00 4.783688056e+00
8.296593186e+03 2.221118034e+00 4.461299494e+00 4.726941739e+00
8.316633267e+03 2.231388490e+00 4.370487437e+00 4.670259680e+00
8.336673347e+03 2.241867035e+00 4.282838053e+00 4.613790389e+00
8.356713427e+03 2.252521812e+00 4.198215848e+00 4.557649267e+00
8.376753507e+03 2.263323897e+00 4.116490690e+00 4.501924005e+00
8.396793587e+03 2.274246921e+00 4.037538008e+00 4.446679636e+00
8.416833667e+03 2.285266719e+00 3.961238845e+00 4.391963018e+00
8.436873747e+03 2.296361033e+00 3.887479813e+00 4.337806616e+00
8.456913828e+03 2.307509227e+00 3.816152991e+00 4.284231854e+00
8.476953908e+03 2.318692064e+00 3.747155757e+00 4.231251717e+00
8.496993988e+03 2.329891497e+00 3.680390583e+00 4.178872896e+00
8.517034068e+03 2.341090498e+00 3.615764817e+00 4.127097585e+00
8.537074148e+03 2.352272922e+00 3.553190444e+00 4.075924562e+00
8.557114228e+03 2.363423375e+00 3.492583853e+00 4.025350525e+00
8.577154309e+03 2.374527125e+00 3.433865600e+00 3.975370567e+00
8.597194389e+03 2.385570015e+00 3.376960175e+00 3.925978820e+00
8.617234469e+03 2.396538393e+00 3.321795786e+00 3.877168935e+00
8.637274549e+03 2.407419062e+00 3.268304145e+00 3.828934248e+00
8.657314629e+03 2.418199228e+00 3.216420267e+00 3.781268055e+00
8.677354709e+03 2.428866470e+00 3.166082287e+00 3.734163702e+00
8.697394790e+03 2.439408700e+00 3.117231274e+00 3.687614709e+00
8.717434870e+03 2.449814147e+00 3.069811065e+00 3.641614798e+00
8.737474950e+03 2.460071329e+00 3.023768118e+00 3.596157925e+00
8.757515030e+03 2.470169042e+00 2.979051354e+00 3.551238303e+00
8.777555110e+03 2.480096339e+00 2.935612021e+00 3.506850392e+00
8.797595190e+03 2.489842525e+00 2.893403568e+00 3.462988909e+00
8.817635271e+03 2.499397145e+00 2.852381533e+00 3.419648798e+00
8.837675351e+03 2.508749976e+00 2.812503420e+00 3.376825231e+00
8.857715431e+03 2.517891022e+00 2.773728596e+00 3.334513592e+00
8.877755511e+03 2.526810507e+00 2.736018189e+00 3.292709455e+00
8.897795591e+03 2.535498874e+00 2.699335009e+00 3.251408574e+00
8.917835671e+03 2.543946781e+00 2.663643446e+00 3.210606868e+00
8.937875752e+03 2.552145099e+00 2.628909382e+00 3.170300400e+00
8.957915832e+03 2.560084911e+00 2.595100121e+00 3.130485369e+00
8.977955912e+03 2.567757513e+00 2.562184323e+00 3.091158095e+00
8.997995992e+03 2.575154419e+00 2.530131951e+00 3.052315004e+00
9.018036072e+03 2.582267355e+00 2.498914197e+00 3.013952632e+00
9.038076152e+03 2.589088266e+00 2.468503396e+00 2.976067575e+00
9.058116232e+03 2.595609322e+00 2.438873010e+00 2.938656542e+00
9.078156313e+03 2.601822915e+00 2.409997524e+00 2.901716261e+00
9.098196393e+03 2.607721672e+00 2.381852446e+00 2.865243546e+00
9.118236473e+03 2.613298456e+00 2.354414250e+00 2.829235272e+00
9.138276553e+03 2.618546370e+00 2.327660285e+00 2.793688288e+00
9.158316633e+03 2.623458777e+00 2.301568813e+00 2.758599557e+00
9.178356713e+03 2.628029297e+00 2.276118907e+00 2.723966043e+00
9.198396794e+03 2.632251816e+00 2.251290403e+00 2.689784668e+00
9.218436874e+03 2.636120503e+00 2.227063930e+00 2.656052438e+00
9.238476954e+03 2.639629820e+00 2.203420833e+00 2.622766361e+00
9.258517034e+03 2.642774530e+00 2.180343117e+00 2.589923401e+00
9.278557114e+03 2.645549712e+00 2.157813467e+00 2.557520550e+00
9.298597194e+03 2.647950775e+00 2.135815199e+00 2.525554798e+00
9.318637275e+03 2.649973472e+00 2.114332228e+00 2.494023109e+00
9.338677355e+03 2.651613915e+00 2.093349038e+00 2.462922433e+00
9.358717435e+03 2.652868589e+00 2.072850670e+00 2.432249700e+00
9.378757515e+03 2.653734372e+00 2.052822692e+00 2.402001817e+00
9.398797595e+03 2.654208546e+00 2.033251185e+00 2.372175679e+00
9.418837675e+03 2.654288817e+00 2.014122705e+00 2.342768127e+00
9.438877756e+03 2.653973338e+00 1.995424284e+00 2.313776008e+00
9.458917836e+03 2.653260710e+00 1.977143375e+00 2.285196067e+00
9.478957916e+03 2.652150019e+00 1.959267894e+00 2.257025101e+00
9.498997996e+03 2.650640842e+00 1.941786148e+00 2.229259836e+00
9.519038076e+03 2.648733254e+00 1.924686799e+00 2.201896834e+00
9.539078156e+03 2.646427878e+00 1.907958973e+00 2.174932875e+00
9.559118236e+03 2.643725851e+00 1.891592081e+00 2.148364462e+00
9.579158317e+03 2.640628873e+00 1.875575914e+00 2.122188143e+00
9.599198397e+03 2.637139210e+00 1.859900599e+00 2.096400428e+00
9.619238477e+03 2.633259700e+00 1.844556576e+00 2.070997754e+00
9.639278557e+03 2.628993766e+00 1.829534601e+00 2.045976521e+00
9.659318637e+03 2.624345423e+00 1.814825720e+00 2.021333072e+00
9.679358717e+03 2.619319281e+00 1.800421278e+00 1.997063728e+00
9.699398798e+03 2.613920548e+00 1.786312884e+00 1.973164726e+00
9.719438878e+03 2.608155029e+00 1.772492418e+00 1.949632270e+00
9.739478958e+03 2.602029118e+00 1.758952011e+00 1.926462511e+00
9.759519038e+03 2.595549801e+00 1.745684045e+00 1.903651550e+00
9.779559118e+03 2.588724636e+00 1.732681137e+00 1.881195441e+00
9.799599198e+03 2.581561746e+00 1.719936133e+00 1.859090187e+00
9.819639279e+03 2.574069802e+00 1.707442102e+00 1.837331747e+00
9.839679359e+03 2.566257998e+00 1.695192324e+00 1.815916031e+00
9.859719439e+03 2.558136035e+00 1.683180284e+00 1.794838908e+00
9.879759519e+03 2.549714091e+00 1.671399668e+00 1.774096200e+00
9.899799599e+03 2.541002786e+00 1.659844352e+00 1.753683691e+00
9.919839679e+03 2.532013150e+00 1.648508397e+00 1.733597126e+00
9.939879760e+03 2.522756594e+00 1.637386042e+00 1.713832212e+00
9.959919840e+03 2.513244868e+00 1.626471701e+00 1.694384624e+00
9.979959920e+03 2.503490019e+00 1.615759957e+00 1.675250004e+00
1.000000000e+04 2.493504352e+00 1.605245553e+00 1.656423966e+00
