time            Cj              Ck              Br              Bs              Ap              Aq             
1.002004008e+03 9.681946703e-01 9.689880886e-01 2.085433706e+00 2.098314353e+00 3.654423973e+00 3.637077218e+00
1.022044088e+03 9.251538574e-01 9.253115454e-01 2.278423185e+00 2.292035238e+00 3.514185961e+00 3.496600983e+00
1.042084168e+03 8.939542626e-01 8.934646284e-01 2.481022131e+00 2.494930244e+00 3.353606546e+00 3.336118045e+00
1.062124248e+03 8.741067247e-01 8.729487165e-01 2.690019970e+00 2.703745671e+00 3.176998416e+00 3.159904155e+00
1.082164329e+03 8.652713075e-01 8.634136503e-01 2.901604656e+00 2.914642610e+00 2.988957310e+00 2.972510907e+00
1.102204409e+03 8.672727837e-01 8.646736481e-01 3.111493265e+00 3.123334100e+00 2.794154155e+00 2.778561110e+00
1.122244489e+03 8.801071861e-01 8.767143379e-01 3.315108720e+00 3.325265964e+00 2.597119981e+00 2.582536781e+00
1.142284569e+03 9.039404290e-01 8.996919585e-01 3.507784517e+00 3.515822453e+00 2.402045928e+00 2.388581865e+00
1.162324649e+03 9.390992345e-01 9.339250083e-01 3.684975312e+00 3.690534326e+00 2.212619240e+00 2.200340463e+00
1.182364729e+03 9.860539240e-01 9.798779455e-01 3.842451800e+00 3.845268274e+00 2.031910381e+00 2.020845565e+00
1.202404810e+03 1.045391978e+00 1.038135873e+00 3.976463377e+00 3.976382122e+00 1.862317941e+00 1.852464942e+00
1.222444890e+03 1.117780867e+00 1.109368718e+00 4.083859857e+00 4.080838305e+00 1.705569314e+00 1.696902192e+00
1.242484970e+03 1.203918512e+00 1.194283225e+00 4.162171996e+00 4.156276549e+00 1.562768112e+00 1.555244026e+00
1.262525050e+03 1.304470021e+00 1.293561333e+00 4.209657289e+00 4.201053099e+00 1.434475233e+00 1.428040809e+00
1.282565130e+03 1.419990232e+00 1.407784278e+00 4.225321135e+00 4.214257113e+00 1.320809413e+00 1.315406358e+00
1.302605210e+03 1.550833038e+00 1.537343169e+00 4.208923370e+00 4.195714284e+00 1.221554500e+00 1.217124344e+00
1.322645291e+03 1.697050763e+00 1.682338960e+00 4.160976995e+00 4.145984358e+00 1.136263486e+00 1.132751445e+00
1.342685371e+03 1.858289564e+00 1.842477414e+00 4.082740713e+00 4.066353796e+00 1.064352626e+00 1.061710643e+00
1.362725451e+03 2.033689792e+00 2.016967620e+00 3.976201429e+00 3.958819404e+00 1.005181975e+00 1.003371048e+00
1.382765531e+03 2.221802818e+00 2.204435307e+00 3.844038629e+00 3.826054486e+00 9.581211648e-01 9.571130685e-01
1.402805611e+03 2.420536984e+00 2.402863599e+00 3.689561017e+00 3.671347715e+00 9.226009428e-01 9.223794509e-01
1.422845691e+03 2.627144776e+00 2.609573577e+00 3.516607459e+00 3.498506609e+00 8.981518177e-01 8.987135187e-01
1.442885772e+03 2.838259908e+00 2.821254019e+00 3.329409610e+00 3.311722898e+00 8.844317178e-01 8.857864581e-01
1.462925852e+03 3.049986775e+00 3.034043772e+00 3.132420973e+00 3.115404421e+00 8.812442985e-01 8.834152835e-01
1.482965932e+03 3.258038217e+00 3.243663871e+00 2.930124314e+00 2.913985369e+00 8.885493276e-01 8.915728610e-01
1.503006012e+03 3.457909916e+00 3.445588543e+00 2.726835568e+00 2.711732961e+00 9.064661591e-01 9.103908559e-01
1.523046092e+03 3.645073320e+00 3.635238091e+00 2.526524205e+00 2.512570135e+00 9.352702311e-01 9.401557055e-01
1.543086172e+03 3.815168581e+00 3.808174823e+00 2.332668272e+00 2.319932603e+00 9.753826431e-01 9.812973914e-01
1.563126253e+03 3.964179330e+00 3.960283722e+00 2.148156697e+00 2.136672576e+00 1.027351598e+00 1.034369917e+00
1.583166333e+03 4.088577236e+00 4.087924608e+00 1.975243770e+00 1.965014155e+00 1.091824476e+00 1.100022124e+00
1.603206413e+03 4.185430264e+00 4.188048947e+00 1.815553620e+00 1.806558054e+00 1.169508599e+00 1.178957109e+00
1.623246493e+03 4.252477063e+00 4.258282047e+00 1.670126348e+00 1.662327731e+00 1.261119509e+00 1.271878727e+00
1.643286573e+03 4.288172640e+00 4.296975685e+00 1.539493947e+00 1.532844734e+00 1.367314936e+00 1.379424033e+00
1.663326653e+03 4.291714768e+00 4.303239550e+00 1.423773829e+00 1.418221567e+00 1.488614840e+00 1.502081768e+00
1.683366733e+03 4.263058025e+00 4.276958513e+00 1.322768490e+00 1.318260559e+00 1.625308863e+00 1.640098727e+00
1.703406814e+03 4.202919303e+00 4.218799707e+00 1.236062450e+00 1.232549967e+00 1.777355095e+00 1.793378307e+00
1.723446894e+03 4.112773812e+00 4.130208703e+00 1.163110390e+00 1.160551333e+00 1.944277003e+00 1.961378391e+00
1.743486974e+03 3.994835656e+00 4.013389156e+00 1.103313041e+00 1.101674671e+00 2.125068169e+00 2.143018623e+00
1.763527054e+03 3.852014225e+00 3.871257488e+00 1.056079584e+00 1.055340254e+00 2.318116676e+00 2.336609089e+00
1.783567134e+03 3.687837343e+00 3.707363731e+00 1.020876708e+00 1.021027148e+00 2.521161977e+00 2.539813167e+00
1.803607214e+03 3.506335471e+00 3.525773004e+00 9.972654824e-01 9.983096225e-01 2.731295472e+00 2.749655315e+00
1.823647295e+03 3.311887169e+00 3.330907941e+00 9.849274384e-01 9.868828028e-01 2.945012339e+00 2.962580536e+00
1.843687375e+03 3.109033817e+00 3.127360226e+00 9.836813658e-01 9.865790385e-01 3.158315596e+00 3.174565397e+00
1.863727455e+03 2.902278586e+00 2.919686350e+00 9.934919874e-01 9.973760994e-01 3.366866351e+00 3.381273368e+00
1.883767535e+03 2.695889289e+00 2.712207457e+00 1.014471254e+00 1.019397916e+00 3.566166479e+00 3.578239777e+00
1.903807615e+03 2.493725190e+00 2.508833485e+00 1.046872616e+00 1.052908164e+00 3.751755770e+00 3.761067894e+00
