time            shA             shB             shY            
0.000000000e+00 3.000000000e+00 8.000000000e+00 5.000000000e+00
1.002004008e+01 2.468927710e+00 7.227172181e+00 4.928982614e+00
2.004008016e+01 2.448252537e+00 7.223710103e+00 4.884242873e+00
3.006012024e+01 2.435058639e+00 7.244207675e+00 4.853183491e+00
4.008016032e+01 2.424305985e+00 7.273004898e+00 4.827054726e+00
5.010020040e+01 2.414262321e+00 7.304633050e+00 4.802822892e+00
6.012024048e+01 2.404339262e+00 7.337199131e+00 4.779441219e+00
7.014028056e+01 2.394338826e+00 7.370049492e+00 4.756544166e+00
8.016032064e+01 2.384196207e+00 7.402960163e+00 4.733999694e+00
9.018036072e+01 2.373892040e+00 7.435856342e+00 4.711755925e+00
1.002004008e+02 2.363422415e+00 7.468714874e+00 4.689788472e+00
1.102204409e+02 2.352788673e+00 7.501530611e+00 4.668082592e+00
1.202404810e+02 2.341993921e+00 7.534304556e+00 4.646626871e+00
1.302605210e+02 2.331041825e+00 7.567039805e+00 4.625411181e+00
1.402805611e+02 2.319936217e+00 7.599740139e+00 4.604425961e+00
1.503006012e+02 2.308680951e+00 7.632409504e+00 4.583661957e+00
1.603206413e+02 2.297279852e+00 7.665051840e+00 4.563110124e+00
1.703406814e+02 2.285736705e+00 7.697671018e+00 4.542761614e+00
1.803607214e+02 2.274055251e+00 7.730270827e+00 4.522607747e+00
1.903807615e+02 2.262239184e+00 7.762854965e+00 4.502640016e+00
2.004008016e+02 2.250292146e+00 7.795427017e+00 4.482850102e+00
2.104208417e+02 2.238217732e+00 7.827990467e+00 4.463229871e+00
2.204408818e+02 2.226019484e+00 7.860548693e+00 4.443771360e+00
2.304609218e+02 2.213700911e+00 7.893104981e+00 4.424466765e+00
2.404809619e+02 2.201265468e+00 7.925662514e+00 4.405308448e+00
2.505010020e+02 2.188716570e+00 7.958224373e+00 4.386288938e+00
2.605210421e+02 2.176057591e+00 7.990793541e+00 4.367400937e+00
2.705410822e+02 2.163291860e+00 8.023372898e+00 4.348637311e+00
2.805611222e+02 2.150422663e+00 8.055965218e+00 4.329991092e+00
2.905811623e+02 2.137453248e+00 8.088573177e+00 4.311455474e+00
3.006012024e+02 2.124386819e+00 8.121199350e+00 4.293023813e+00
3.106212425e+02 2.111226545e+00 8.153846209e+00 4.274689625e+00
3.206412826e+02 2.097975557e+00 8.186516130e+00 4.256446579e+00
3.306613226e+02 2.084636947e+00 8.219211384e+00 4.238288505e+00
3.406813627e+02 2.071213769e+00 8.251934147e+00 4.220209390e+00
3.507014028e+02 2.057709045e+00 8.284686492e+00 4.202203367e+00
3.607214429e+02 2.044125760e+00 8.317470398e+00 4.184264724e+00
3.707414830e+02 2.030466867e+00 8.350287741e+00 4.166387897e+00
3.807615230e+02 2.016735286e+00 8.383140303e+00 4.148567468e+00
3.907815631e+02 2.002933904e+00 8.416029769e+00 4.130798165e+00
4.008016032e+02 1.989065577e+00 8.448957725e+00 4.113074863e+00
4.108216433e+02 1.975133131e+00 8.481925663e+00 4.095392576e+00
4.208416834e+02 1.961139360e+00 8.514934979e+00 4.077746461e+00
4.308617234e+02 1.947087029e+00 8.547986974e+00 4.060131814e+00
4.408817635e+02 1.932978877e+00 8.581082855e+00 4.042544068e+00
4.509018036e+02 1.918817612e+00 8.614223735e+00 4.024978793e+00
4.609218437e+02 1.904605915e+00 8.647410636e+00 4.007431691e+00
4.709418838e+02 1.890346444e+00 8.680644486e+00 3.989898597e+00
4.809619238e+02 1.876041826e+00 8.713926122e+00 3.972375475e+00
4.909819639e+02 1.861694668e+00 8.747256290e+00 3.954858421e+00
5.010020040e+02 1.847307547e+00 8.780635647e+00 3.937343657e+00
5.110220441e+02 1.832883020e+00 8.814064761e+00 3.919827531e+00
5.210420842e+02 1.818423619e+00 8.847544110e+00 3.902306512e+00
5.310621242e+02 1.803931853e+00 8.881074083e+00 3.884777195e+00
5.410821643e+02 1.789410205e+00 8.914654985e+00 3.867236299e+00
5.511022044e+02 1.774861141e+00 8.948287034e+00 3.849680656e+00
5.611222445e+02 1.760287103e+00 8.981970359e+00 3.832107221e+00
5.711422846e+02 1.745690511e+00 9.015705007e+00 3.814513064e+00
5.811623246e+02 1.731073761e+00 9.049490942e+00 3.796895374e+00
5.911823647e+02 1.716439233e+00 9.083328042e+00 3.779251450e+00
6.012024048e+02 1.701789286e+00 9.117216103e+00 3.761578704e+00
