time            Ak              Br              Cj              sAk             sBr             sCj            
7.214428858e+02 4.398587884e+00 2.912437676e+00 6.594918045e+00 1.095859522e+00 1.003807498e+00 7.664798806e-01
7.358717435e+02 4.592248010e+00 2.873795874e+00 6.471279924e+00 1.093991610e+00 1.027472962e+00 7.713405864e-01
7.503006012e+02 4.788501415e+00 2.845226935e+00 6.334259496e+00 1.090818247e+00 1.051071273e+00 7.770823357e-01
7.647294589e+02 4.985885718e+00 2.826676653e+00 6.185637683e+00 1.086438460e+00 1.074494462e+00 7.837497557e-01
7.791583166e+02 5.182823794e+00 2.818097709e+00 6.027277591e+00 1.080964489e+00 1.097630129e+00 7.913820456e-01
7.935871743e+02 5.377645279e+00 2.819453112e+00 5.861088356e+00 1.074520000e+00 1.120362487e+00 8.000130311e-01
8.080160321e+02 5.568611940e+00 2.830717933e+00 5.688988900e+00 1.067238059e+00 1.142573496e+00 8.096711303e-01
8.224448898e+02 5.753946414e+00 2.851879567e+00 5.512872949e+00 1.059258911e+00 1.164144080e+00 8.203792808e-01
8.368737475e+02 5.931863480e+00 2.882936444e+00 5.334576573e+00 1.050727678e+00 1.184955421e+00 8.321547981e-01
8.513026052e+02 6.100602588e+00 2.923895252e+00 5.155849300e+00 1.041792046e+00 1.204890299e+00 8.450091884e-01
8.657314629e+02 6.258460752e+00 2.974766784e+00 4.978329650e+00 1.032600031e+00 1.223834486e+00 8.589479124e-01
8.801603206e+02 6.403824641e+00 3.035560356e+00 4.803525818e+00 1.023297916e+00 1.241678167e+00 8.739701135e-01
8.945891784e+02 6.535200917e+00 3.106276976e+00 4.632801699e+00 1.014028390e+00 1.258317380e+00 8.900683189e-01
9.090180361e+02 6.651244025e+00 3.186901275e+00 4.467368329e+00 1.004928970e+00 1.273655451e+00 9.072281236e-01
9.234468938e+02 6.750780643e+00 3.277392355e+00 4.308280600e+00 9.961307080e-01 1.287604423e+00 9.254278709e-01
9.378757515e+02 6.832830467e+00 3.377673695e+00 4.156438570e+00 9.877572045e-01 1.300086446e+00 9.446383415e-01
9.523046092e+02 6.896622890e+00 3.487622328e+00 4.012593004e+00 9.799239199e-01 1.311035111e+00 9.648224650e-01
9.667334669e+02 6.941609294e+00 3.607057506e+00 3.877354193e+00 9.727377634e-01 1.320396706e+00 9.859350675e-01
9.811623246e+02 6.967471186e+00 3.735729188e+00 3.751203338e+00 9.662969264e-01 1.328131362e+00 1.007922670e+00
9.955911824e+02 6.974123883e+00 3.873306699e+00 3.634505809e+00 9.606909300e-01 1.334214058e+00 1.030723352e+00
1.010020040e+03 6.961715988e+00 4.019367973e+00 3.527525401e+00 9.560008354e-01 1.338635454e+00 1.054266695e+00
1.024448898e+03 6.930624718e+00 4.173389828e+00 3.430439049e+00 9.522995846e-01 1.341402519e+00 1.078473815e+00
1.038877756e+03 6.881447171e+00 4.334739790e+00 3.343351383e+00 9.496524237e-01 1.342538905e+00 1.103257506e+00
1.053306613e+03 6.814987837e+00 4.502669892e+00 3.266308700e+00 9.481173735e-01 1.342085071e+00 1.128522488e+00
1.067735471e+03 6.732242367e+00 4.676313027e+00 3.199311972e+00 9.477457143e-01 1.340098090e+00 1.154165789e+00
1.082164329e+03 6.634378075e+00 4.854682175e+00 3.142328667e+00 9.485824552e-01 1.336651164e+00 1.180077245e+00
1.096593186e+03 6.522711419e+00 5.036672930e+00 3.095303175e+00 9.506667641e-01 1.331832816e+00 1.206140135e+00
1.111022044e+03 6.398682945e+00 5.221069566e+00 3.058165740e+00 9.540323407e-01 1.325745778e+00 1.232231948e+00
1.125450902e+03 6.263830336e+00 5.406554656e+00 3.030839871e+00 9.587077193e-01 1.318505602e+00 1.258225267e+00
1.139879760e+03 6.119760142e+00 5.591722323e+00 3.013248187e+00 9.647164899e-01 1.310239014e+00 1.283988784e+00
1.154308617e+03 5.968119025e+00 5.775094896e+00 3.005316736e+00 9.720774344e-01 1.301082080e+00 1.309388414e+00
1.168737475e+03 5.810565329e+00 5.955142418e+00 3.006977823e+00 9.808045753e-01 1.291178224e+00 1.334288509e+00
1.183166333e+03 5.648741746e+00 6.130304774e+00 3.018171392e+00 9.909071367e-01 1.280676164e+00 1.358553158e+00
1.197595190e+03 5.484249899e+00 6.299015557e+00 3.038845045e+00 1.002389424e+00 1.269727846e+00 1.382047552e+00
1.212024048e+03 5.318627550e+00 6.459727123e+00 3.068952720e+00 1.015250622e+00 1.258486422e+00 1.404639403e+00
1.226452906e+03 5.153328997e+00 6.610935998e+00 3.108452131e+00 1.029484533e+00 1.247104350e+00 1.426200399e+00
1.240881764e+03 4.989709024e+00 6.751207925e+00 3.157301025e+00 1.045079239e+00 1.235731648e+00 1.446607671e+00
1.255310621e+03 4.829010803e+00 6.879201845e+00 3.215452307e+00 1.062016734e+00 1.224514363e+00 1.465745274e+00
1.269739479e+03 4.672357601e+00 6.993692213e+00 3.282848167e+00 1.080272503e+00 1.213593272e+00 1.483505643e+00
1.284168337e+03 4.520748382e+00 7.093589094e+00 3.359413266e+00 1.099815090e+00 1.203102824e+00 1.499791017e+00
1.298597194e+03 4.375056931e+00 7.177955648e+00 3.445047108e+00 1.120605656e+00 1.193170341e+00 1.514514810e+00
1.313026052e+03 4.236034148e+00 7.246022823e+00 3.539615783e+00 1.142597542e+00 1.183915458e+00 1.527602915e+00
1.327454910e+03 4.104313126e+00 7.297200758e+00 3.642943179e+00 1.165735867e+00 1.175449792e+00 1.538994899e+00
1.341883768e+03 3.980416368e+00 7.331087224e+00 3.754801956e+00 1.189957166e+00 1.167876802e+00 1.548645089e+00
1.356312625e+03 3.864764752e+00 7.347472745e+00 3.874904469e+00 1.215189090e+00 1.161291829e+00 1.556523513e+00
1.370741483e+03 3.757687646e+00 7.346342492e+00 4.002893961e+00 1.241350195e+00 1.155782264e+00 1.562616659e+00
1.385170341e+03 3.659433700e+00 7.327875122e+00 4.138336310e+00 1.268349821e+00 1.151427827e+00 1.566928052e+00
1.399599198e+03 3.570181910e+00 7.292438436e+00 4.280712708e+00 1.296088101e+00 1.148300904e+00 1.569478594e+00
1.414028056e+03 3.490052544e+00 7.240582114e+00 4.429413597e+00 1.324456090e+00 1.146466940e+00 1.570306668e+00
1.428456914e+03 3.419117639e+00 7.173027586e+00 4.583734231e+00 1.353336047e+00 1.145984821e+00 1.569467980e+00
1.442885772e+03 3.357410814e+00 7.090655138e+00 4.742872246e+00 1.382601873e+00 1.146907258e+00 1.567035120e+00
1.457314629e+03 3.304936211e+00 6.994488567e+00 4.905927472e+00 1.412119709e+00 1.149281126e+00 1.563096854e+00
1.471743487e+03 3.261676425e+00 6.885677533e+00 5.071904326e+00 1.441748700e+00 1.153147741e+00 1.557757144e+00
1.486172345e+03 3.227599325e+00 6.765477997e+00 5.239716894e+00 1.471341930e+00 1.158543087e+00 1.551133905e+00
1.500601202e+03 3.202663745e+00 6.635231142e+00 5.408196796e+00 1.500747511e+00 1.165497939e+00 1.543357544e+00
1.515030060e+03 3.186823955e+00 6.496341192e+00 5.576103922e+00 1.529809830e+00 1.174037914e+00 1.534569299e+00
1.529458918e+03 3.180032970e+00 6.350252766e+00 5.742139670e+00 1.558370927e+00 1.184183424e+00 1.524919425e+00
1.543887776e+03 3.182244688e+00 6.198428218e+00 5.904962686e+00 1.586272007e+00 1.195949533e+00 1.514565289e+00
1.558316633e+03 3.193414856e+00 6.042325643e+00 6.063206599e+00 1.613355048e+00 1.209345720e+00 1.503669408e+00
1.572745491e+03 3.213500957e+00 5.883378070e+00 6.215499330e+00 1.639464494e+00 1.224375556e+00 1.492397506e+00
1.587174349e+03 3.242460976e+00 5.722974415e+00 6.360483531e+00 1.664449010e+00 1.241036288e+00 1.480916623e+00
1.601603206e+03 3.280251176e+00 5.562442611e+00 6.496837510e+00 1.688163270e+00 1.259318357e+00 1.469393340e+00
1.616032064e+03 3.326822871e+00 5.403035302e+00 6.623296154e+00 1.710469755e+00 1.279204846e+00 1.457992144e+00
1.630460922e+03 3.382118287e+00 5.245918369e+00 6.738671245e+00 1.731240539e+00 1.300670873e+00 1.446873989e+00
1.644889780e+03 3.446065598e+00 5.092162343e+00 6.841870707e+00 1.750359026e+00 1.323682958e+00 1.436195051e+00
1.659318637e+03 3.518573191e+00 4.942736822e+00 6.931916282e+00 1.767721622e+00 1.348198365e+00 1.426105701e+00
1.673747495e+03 3.599523303e+00 4.798507685e+00 7.007959306e+00 1.783239308e+00 1.374164452e+00 1.416749698e+00
1.688176353e+03 3.688765139e+00 4.660236938e+00 7.069294201e+00 1.796839089e+00 1.401518043e+00 1.408263596e+00
1.702605210e+03 3.786107644e+00 4.528584939e+00 7.115369525e+00 1.808465291e+00 1.430184862e+00 1.400776344e+00
1.717034068e+03 3.891312102e+00 4.404114595e+00 7.145796388e+00 1.818080671e+00 1.460079034e+00 1.394409057e+00
1.731462926e+03 4.004084782e+00 4.287297230e+00 7.160354081e+00 1.825667328e+00 1.491102696e+00 1.389274946e+00
1.745891784e+03 4.124069882e+00 4.178519688e+00 7.158992930e+00 1.831227369e+00 1.523145741e+00 1.385479360e+00
1.760320641e+03 4.250843003e+00 4.078092309e+00 7.141834347e+00 1.834783327e+00 1.556085716e+00 1.383119915e+00
1.774749499e+03 4.383905490e+00 3.986257442e+00 7.109168036e+00 1.836378293e+00 1.589787914e+00 1.382286687e+00
1.789178357e+03 4.522679868e+00 3.903198126e+00 7.061446537e+00 1.836075761e+00 1.624105655e+00 1.383062424e+00
1.803607214e+03 4.666506712e+00 3.829046706e+00 6.999277087e+00 1.833959165e+00 1.658880812e+00 1.385522760e+00
1.818036072e+03 4.814643206e+00 3.763893097e+00 6.923411003e+00 1.830131117e+00 1.693944555e+00 1.389736396e+00
1.832464930e+03 4.966263603e+00 3.707792533e+00 6.834730778e+00 1.824712352e+00 1.729118360e+00 1.395765231e+00
1.846893788e+03 5.120461813e+00 3.660772621e+00 6.734235072e+00 1.817840392e+00 1.764215256e+00 1.403664414e+00
1.861322645e+03 5.276256237e+00 3.622839600e+00 6.623021947e+00 1.809667953e+00 1.799041326e+00 1.413482310e+00
1.875751503e+03 5.432596882e+00 3.593983718e+00 6.502270697e+00 1.800361155e+00 1.833397439e+00 1.425260357e+00
1.890180361e+03 5.588374732e+00 3.574183646e+00 6.373222655e+00 1.790097535e+00 1.867081208e+00 1.439032805e+00
1.904609218e+03 5.742433234e+00 3.563409959e+00 6.237161459e+00 1.779063962e+00 1.899889134e+00 1.454826334e+00
1.919038076e+03 5.893581736e+00 3.561627595e+00 6.095393246e+00 1.767454467e+00 1.931618926e+00 1.472659550e+00
1.933466934e+03 6.040610482e+00 3.568797370e+00 5.949227278e+00 1.755468075e+00 1.962071947e+00 1.492542349e+00
1.947895792e+03 6.182306888e+00 3.584876530e+00 5.799957478e+00 1.743306670e+00 1.991055759e+00 1.514475175e+00
1.962324649e+03 6.317472705e+00 3.609818355e+00 5.648845340e+00 1.731172956e+00 2.018386720e+00 1.538448155e+00
1.976753507e+03 6.444941436e+00 3.643570864e+00 5.497104623e+00 1.719268567e+00 2.043892588e+00 1.564440157e+00
1.991182365e+03 6.563595770e+00 3.686074708e+00 5.345888058e+00 1.707792340e+00 2.067415086e+00 1.592417766e+00
2.005611222e+03 6.672384459e+00 3.737260233e+00 5.196276496e+00 1.696938803e+00 2.088812389e+00 1.622334218e+00
2.020040080e+03 6.770338253e+00 3.797043864e+00 5.049270359e+00 1.686896868e+00 2.107961487e+00 1.654128319e+00
